rank,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,half1_score,half1_rank,half2_score,totalscore,avg_total
1,S,582,中島 瑞葵,53,右,フリー/ABS,223,254,279,247,187,214,193,201,226,192,179,257,"1,404",1,"1,248","2,652",221.00
2,S,568,越智 真南,51,右,平和島スターボウル/ABS,204,229,226,176,225,244,194,229,215,183,192,236,"1,304",3,"1,249","2,553",212.75
3,S,544,坂本 かや,49,右,永山コパボウル,213,216,156,258,237,246,213,197,174,214,209,192,"1,326",2,"1,199","2,525",210.41
4,,494,桑藤 美樹,45,左,(株)スポルト/ABS,215,193,202,255,219,174,245,191,211,183,212,214,"1,258",7,"1,256","2,514",209.50
5,CS,586,幸木百合菜,53,左,相模原パークレーンズ,217,211,185,151,231,247,148,268,193,247,191,212,"1,242",10,"1,259","2,501",208.41
6,S,364,丹羽由香梨,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,185,278,202,211,246,175,199,185,199,190,200,226,"1,297",4,"1,199","2,496",208.00
7,,614,川田 菜摘,56,右,社会医療法人 社団 慶友会,202,138,245,256,233,162,204,221,220,207,201,183,"1,236",11,"1,236","2,472",206.00
8,S,533,川﨑 由意,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,195,228,223,215,178,204,214,180,203,200,209,222,"1,243",9,"1,228","2,471",205.91
9,S,526,久保田彩花,48,右,相模原パークレーンズ,238,204,227,192,227,190,219,186,202,213,175,192,"1,278",6,"1,187","2,465",205.41
10,,515,坂倉にいな,47,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,228,215,236,169,185,183,255,178,242,176,212,182,"1,216",17,"1,245","2,461",205.08
11,,463,岸田 有加,43,右,ＡＣＴエースレーン/STEEL SPORTS,222,192,186,235,189,230,209,223,176,215,172,207,"1,254",8,"1,202","2,456",204.66
12,JS,588,土屋 佑佳,54,右,相模ファーストレーン,204,225,245,190,169,183,243,188,164,193,223,223,"1,216",16,"1,234","2,450",204.16
