rank,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,half1_score,half1_rank,half2_score,totalscore,avg_total
1,S,384,松永 裕美,37,右,ＡＢＳ,277,204,238,300,213,234,265,224,1019,1,936,"1,955",244.37
2,CS,587,今井 双葉,54,右,ＩＴカンファー(株),266,265,226,179,210,277,220,235,936,4,942,"1,878",234.75
3,,615,野仲 美咲,56,右,ココレーン,269,184,236,213,223,279,211,227,902,9,940,"1,842",230.25
4,,525,宇山 侑花,48,右,小嶺シティボウル/ABS,248,247,225,224,237,175,217,267,944,3,896,"1,840",230.00
5,S,558,坂倉 凜,50,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,278,205,166,235,212,237,213,279,884,16,941,"1,825",228.12
6,S,352,姫路 麗,33,右,フリー,244,238,213,237,258,211,218,201,932,6,888,"1,820",227.50
7,,469,安藤 瞳,43,右,東名ボール,202,258,220,213,225,209,232,237,893,11,903,"1,796",224.50
8,,623,井﨑 寛菜,56,右,勝田パークボウル,264,201,201,268,248,230,202,181,934,5,861,"1,795",224.37
9,,614,川田 菜摘,56,右,社会医療法人 社団慶友会/ABS,245,218,276,237,207,179,217,213,976,2,816,"1,792",224.00
10,歴,478,小林あゆみ,44,左,eスポフィールド･ﾄﾐｺｼ高島平ﾎﾞｳﾙ,201,227,239,186,247,216,192,280,853,28,935,"1,788",223.50
11,S,568,越智 真南,51,右,平和島スターボウル/ABS,207,289,197,226,205,206,225,214,919,7,850,"1,769",221.12
12,S,613,秋吉 夕紀,56,右,スターレーン,204,269,177,225,255,225,206,204,875,20,890,"1,765",220.62
13,,514,小久保実希,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,242,208,193,214,227,234,188,258,857,23,907,"1,764",220.50
14,,596,竹山 亜希,54,右,フリー,191,232,211,244,235,204,228,209,878,18,876,"1,754",219.25
15,S,544,坂本 かや,49,右,永山コパボウル,238,213,240,198,207,203,226,229,889,13,865,"1,754",219.25
16,S,583,堀井 春花,53,左,Ｊ－Ｂｏｗｌ御坊,206,246,202,193,194,237,206,269,847,29,906,"1,753",219.12
17,,609,緒方 美空,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,269,213,200,195,195,248,184,236,877,19,863,"1,740",217.50
18,S,526,久保田彩花,48,右,相模原パークレーンズ,212,248,226,215,231,197,190,213,901,10,831,"1,732",216.50
19,,515,坂倉にいな,47,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,175,228,224,205,180,277,198,242,832,35,897,"1,729",216.12
20,S,582,中島 瑞葵,53,右,フリー/ABS,169,213,211,246,206,269,203,208,839,32,886,"1,725",215.62
21,,616,太 琳華,56,右,フリー,181,214,238,221,228,225,199,210,854,26,862,"1,716",214.50
22,,570,本橋 優美,51,右,スターレーン,201,233,179,225,257,180,244,188,838,33,869,"1,707",213.37
23,歴,499,本間由佳梨,46,右,フリー,235,185,199,268,194,218,193,215,887,15,820,"1,707",213.37
24,,372,板倉奈智美,36,右,ﾋｻｶﾌﾟﾛｼｮｯﾌﾟ/ﾊｲ･ｽﾎﾟｰﾂ社,201,211,267,234,200,224,203,161,913,8,788,"1,701",212.62
25,,578,キム･ソヒョン,52,右,フジ取手ボウル,208,221,201,225,175,258,182,224,855,25,839,"1,694",211.75
26,,622,渡辺 莉央,56,右,ＩＴカンファー(株),186,221,194,204,209,216,237,223,805,46,885,"1,690",211.25
27,S,524,山田 幸,48,右,ボウルアロー/ABS,195,197,223,225,213,227,181,228,840,31,849,"1,689",211.12
28,S,598,近藤 菜帆,55,右,ALSOK愛知株式会社,211,233,189,171,233,228,214,208,804,48,883,"1,687",210.87
29,,509,前屋 瑠美,47,右,フリー,211,195,218,207,228,203,242,180,831,36,853,"1,684",210.50
30,S,559,霜出 佳奈,50,右,サンスクエアボウル/ﾊｲ･ｽﾎﾟｰﾂ社,164,213,219,194,175,236,256,217,790,58,884,"1,674",209.25
31,,585,清水 弘子,53,左,フリー,193,213,193,192,223,202,241,215,791,57,881,"1,672",209.00
32,,603,緒方 彩音,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,210,234,152,200,227,245,221,182,796,53,875,"1,671",208.87
33,JS,588,土屋 佑佳,54,右,相模ファーストレーン,175,235,237,245,184,201,212,178,892,12,775,"1,667",208.37
