key,スタートレーン,プロ区分,ライセンスNo,氏名,期,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
5L,5L-1,,1066,加藤　祐哉,43,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,19L・20L,25L・26L,31L・32L,7L・8L,13L・14L
5L,5L-2,,1464,島田　卓也,62,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,19L・20L,25L・26L,31L・32L,7L・8L,13L・14L
6L,6L-1,,1132,佐野　芳宏,46,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,19L・20L,25L・26L,31L・32L,7L・8L,13L・14L
6L,6L-2,,934,西川　徹,38,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,19L・20L,25L・26L,31L・32L,7L・8L,13L・14L
6L,6L-3,S,1427,田中　椋也,59,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,19L・20L,25L・26L,31L・32L,7L・8L,13L・14L
7L,7L-1,S,1193,斉藤　琢哉,48,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,21L・22L,27L・28L,33L・34L,9L・10L,15L・16L
7L,7L-2,,1343,平岡　勇人,53,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,21L・22L,27L・28L,33L・34L,9L・10L,15L・16L
8L,8L-1,,1451,小野　在由,61,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,21L・22L,27L・28L,33L・34L,9L・10L,15L・16L
8L,8L-2,,1117,松本　智弥,45,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,21L・22L,27L・28L,33L・34L,9L・10L,15L・16L
8L,8L-3,,1032,工藤　貴志,42,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,21L・22L,27L・28L,33L・34L,9L・10L,15L・16L
9L,9L-1,,1435,徳久　恵大,60,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,23L・24L,29L・30L,5L・6L,11L・12L,17L・18L
9L,9L-2,,1369,木田　大輔,55,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,23L・24L,29L・30L,5L・6L,11L・12L,17L・18L
10L,10L-1,,1277,小林　孝至,51,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,23L・24L,29L・30L,5L・6L,11L・12L,17L・18L
10L,10L-2,,1431,木村　晃,60,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,23L・24L,29L・30L,5L・6L,11L・12L,17L・18L
