順位,Aシフト順位,Bシフト順位,アマ順位,シフト,ライセンス種別,ライセンス番号,氏名,gender,期,投,所属/用品契約,1G,2G,3G,4G,前半,5G,6G,7G,8G,後半,予選8GT/PIN,AVG
1,1,,,A,S,526,久保田彩花,2,48,右,相模原パークレーンズ,249,225,224,239,937,193,163,233,155,744,"1,681",210.12
2,,1,,B,S,524,山田　幸,2,48,右,ボウルアロー/ABS,180,208,201,279,868,168,228,203,213,812,"1,680",210.00
3,2,,,A,,490,大根谷　愛,2,45,右,Ｅ－ＢＯＷＬトマト西宮,181,209,211,231,832,202,222,186,211,821,"1,653",206.62
4,,2,,B,,514,小久保実希,2,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,157,258,225,170,810,211,223,236,171,841,"1,651",206.37
5,3,,,A,S,599,石田　万音,2,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,228,171,192,182,773,186,213,276,199,874,"1,647",205.87
6,,3,,B,S,544,坂本　かや,2,49,右,永山コパボウル,164,162,197,216,739,208,249,222,214,893,"1,632",204.00
7,,4,,B,,470,小林よしみ,2,43,右,イリスボウル,196,180,200,257,833,174,242,170,182,768,"1,601",200.12
8,,5,,B,S,583,堀井　春花,2,53,左,Ｊ－Ｂｏｗｌ御坊,179,197,213,215,804,202,210,187,196,795,"1,599",199.87
9,,6,,B,,614,川田　菜摘,2,56,右,フリー/ABS,191,200,150,217,758,176,235,237,190,838,"1,596",199.50
10,4,,,A,S,450,佐藤まさみ,2,42,右,ダイトースターレーン/ABS,179,211,202,222,814,213,235,157,176,781,"1,595",199.37
11,,7,,B,,584,原野　萌花,2,53,右,フラワーボウル,163,214,171,212,760,234,209,225,167,835,"1,595",199.37
12,5,,,A,S,352,姫路　麗,2,33,右,フリー,229,222,230,216,897,158,193,159,186,696,"1,593",199.12
13,,8,,B,,557,水谷　若菜,2,50,右,フリー/ABS,183,189,232,192,796,210,192,188,201,791,"1,587",198.37
14,,9,,B,,494,桑藤　美樹,2,45,左,(株)スポルト/ABS,178,244,191,209,822,193,193,175,200,761,"1,583",197.87
15,,10,,B,CS,586,幸木百合菜,2,53,左,相模原パークレーンズ,184,216,199,243,842,189,168,171,211,739,"1,581",197.62
16,,11,,B,CS,223,長縄多禧子,2,21,右,スターレーン/ｻﾝﾌﾞﾘｯｼﾞ,167,168,191,212,738,195,227,180,235,837,"1,575",196.87
