key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,1G目_box,2G目_box,3G目_box,4G目_box,5G目_box,6G目_box,7G目_box,8G目_box
3L,3L-1,,289,中谷　優子,28,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L
3L,3L-2,S,1219,川添　奨太,49,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L
4L,4L-1,,1376,松田　力也,56,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L
4L,4L-2,☆アマ,,菅瀬　千春,選手,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L
4L,4L-3,☆アマ,,氏家　雅人,選手,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L
5L,5L-1,S,600,金子　萌夏,55,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L
5L,5L-2,☆アマ,,阪本　真澄,選手,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L
6L,6L-1,,1458,増田　優希,62,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L
6L,6L-2,,560,大久保咲桜,50,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L
6L,6L-3,☆アマ,,菅瀬　久智,選手,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L
7L,7L-1,,409,吉川　朋絵,38,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L
7L,7L-2,S,1443,藤永　北斗,61,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L
8L,8L-1,S,1445,宮澤　拓哉,61,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L
8L,8L-2,☆アマ,,大下　由香,選手,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L
8L,8L-3,☆アマ,,谷川　修,選手,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L
9L,9L-1,S,558,坂倉　凜,50,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L,5L・6L
9L,9L-2,☆アマ,,宮井　瑛守,選手,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L,5L・6L
10L,10L-1,PTM,1477,西山　翔悟,63,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L,5L・6L
10L,10L-2,,590,横山　実美,54,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L,5L・6L
10L,10L-3,☆アマ,,久留　悠輝,選手,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,39L・40L,45L・46L,5L・6L
11L,11L-1,CS,587,今井　双葉,54,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L,7L・8L
11L,11L-2,S,1429,大久保雄矢,60,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L,7L・8L
12L,12L-1,,1419,大沼はるか,58,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L,7L・8L
12L,12L-2,☆アマ,,明石　理恵,選手,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L,7L・8L
12L,12L-3,☆アマ,,松本　歩夢,選手,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,41L・42L,47L・48L,7L・8L
13L,13L-1,,509,前屋　瑠美,47,A,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L,9L・10L
13L,13L-2,☆アマ,,堂元　孝修,選手,A,13L・14L,19L・20L,25L・26L,31L・32L,37L・38L,43L・44L,3L・4L,9L・10L
