シフト,レーン,ゲーム,右利き_女性,右利き_男性,左利き_女性,左利き_男性,左利き_男性_累積,左利き_女性_累積,右利き_男性_累積,右利き_女性_累積
A,11L・12L,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
A,11L・12L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,11L・12L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,11L・12L,4,2.0,3.0,0.0,0.0,3.0,0.0,6.0,6.0
A,11L・12L,5,2.0,3.0,0.0,0.0,3.0,0.0,9.0,8.0
A,11L・12L,6,2.0,1.0,0.0,2.0,3.0,0.0,12.0,10.0
A,11L・12L,7,2.0,2.0,0.0,1.0,5.0,0.0,13.0,12.0
A,11L・12L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,13L・14L,1,2.0,3.0,0.0,0.0,7.0,0.0,17.0,16.0
A,13L・14L,2,2.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0
A,13L・14L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,13L・14L,4,2.0,1.0,0.0,2.0,3.0,0.0,6.0,6.0
A,13L・14L,5,2.0,3.0,0.0,0.0,5.0,0.0,7.0,8.0
A,13L・14L,6,2.0,2.0,0.0,1.0,5.0,0.0,10.0,10.0
A,13L・14L,7,2.0,3.0,0.0,0.0,6.0,0.0,12.0,12.0
A,13L・14L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,15L・16L,1,2.0,2.0,0.0,1.0,7.0,0.0,17.0,16.0
A,15L・16L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,15L・16L,3,2.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0
A,15L・16L,4,2.0,3.0,0.0,0.0,2.0,0.0,7.0,6.0
A,15L・16L,5,2.0,2.0,0.0,1.0,2.0,0.0,10.0,8.0
A,15L・16L,6,2.0,3.0,0.0,0.0,3.0,0.0,12.0,10.0
A,15L・16L,7,2.0,2.0,0.0,1.0,3.0,0.0,15.0,12.0
A,15L・16L,8,2.0,2.0,0.0,1.0,4.0,0.0,17.0,14.0
A,17L・18L,1,2.0,2.0,0.0,1.0,5.0,0.0,19.0,16.0
A,17L・18L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,17L・18L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,17L・18L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
A,17L・18L,5,2.0,3.0,0.0,0.0,4.0,0.0,8.0,8.0
A,17L・18L,6,2.0,3.0,0.0,0.0,4.0,0.0,11.0,10.0
A,17L・18L,7,2.0,1.0,0.0,2.0,4.0,0.0,14.0,12.0
A,17L・18L,8,2.0,2.0,0.0,1.0,6.0,0.0,15.0,14.0
A,19L・20L,1,2.0,2.0,0.0,1.0,7.0,0.0,17.0,16.0
A,19L・20L,2,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0
A,19L・20L,3,2.0,1.0,0.0,2.0,1.0,0.0,5.0,4.0
A,19L・20L,4,2.0,2.0,0.0,1.0,3.0,0.0,6.0,6.0
A,19L・20L,5,2.0,1.0,0.0,2.0,4.0,0.0,8.0,8.0
A,19L・20L,6,2.0,3.0,0.0,0.0,6.0,0.0,9.0,10.0
A,19L・20L,7,2.0,2.0,0.0,1.0,6.0,0.0,12.0,12.0
A,19L・20L,8,2.0,3.0,0.0,0.0,7.0,0.0,14.0,14.0
A,21L・22L,1,2.0,2.0,0.0,1.0,7.0,0.0,17.0,16.0
A,21L・22L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,21L・22L,3,2.0,2.0,0.0,1.0,2.0,0.0,4.0,4.0
A,21L・22L,4,2.0,3.0,0.0,0.0,3.0,0.0,6.0,6.0
A,21L・22L,5,2.0,3.0,0.0,0.0,3.0,0.0,9.0,8.0
A,21L・22L,6,2.0,2.0,0.0,1.0,3.0,0.0,12.0,10.0
A,21L・22L,7,2.0,3.0,0.0,0.0,4.0,0.0,14.0,12.0
A,21L・22L,8,2.0,2.0,0.0,1.0,4.0,0.0,17.0,14.0
A,23L・24L,1,2.0,3.0,0.0,0.0,5.0,0.0,19.0,16.0
A,23L・24L,2,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0
A,23L・24L,3,2.0,2.0,0.0,1.0,1.0,0.0,5.0,4.0
A,23L・24L,4,2.0,2.0,0.0,1.0,2.0,0.0,7.0,6.0
A,23L・24L,5,2.0,2.0,0.0,1.0,3.0,0.0,9.0,8.0
A,23L・24L,6,2.0,3.0,0.0,0.0,4.0,0.0,11.0,10.0
A,23L・24L,7,2.0,3.0,0.0,0.0,4.0,0.0,14.0,12.0
A,23L・24L,8,2.0,1.0,0.0,2.0,4.0,0.0,17.0,14.0
A,25L・26L,1,2.0,2.0,0.0,1.0,6.0,0.0,18.0,16.0
A,25L・26L,2,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0
A,25L・26L,3,2.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0
A,25L・26L,4,2.0,1.0,0.0,2.0,2.0,0.0,7.0,6.0
A,25L・26L,5,2.0,2.0,0.0,1.0,4.0,0.0,8.0,8.0
A,25L・26L,6,2.0,1.0,0.0,2.0,5.0,0.0,10.0,10.0
A,25L・26L,7,2.0,3.0,0.0,0.0,7.0,0.0,11.0,12.0
A,25L・26L,8,2.0,2.0,0.0,1.0,7.0,0.0,14.0,14.0
