rank,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,score_5,half1_score,half1_rank,score_6,score_7,score_8,score_9,score_10,half2_score,total_score,total_avg
1,,612,德田 有紀,55,右,フリー,212,188,208,239,224,1071,2,236,195,243,225,187,1086,"2,157",215.70
2,,623,井﨑 寛菜,56,右,勝田パークボウル,166,164,278,221,226,1055,6,199,217,235,219,193,1063,"2,118",211.80
3,,600,金子 萌夏,55,右,相模原パークレーンズ,212,227,152,174,199,964,23,244,215,227,256,208,1150,"2,114",211.40
4,,584,原野 萌花,53,右,フラワーボウル,193,214,246,232,214,1099,1,187,213,172,226,208,1006,"2,105",210.50
5,,627,川口 茉紀,57,右,フリー,300,197,190,172,188,1047,8,212,194,217,206,224,1053,"2,100",210.00
6,,614,川田 菜摘,56,右,フリー/ABS,168,226,194,230,204,1022,12,216,205,239,207,195,1062,"2,084",208.40
7,,617,安田明香里,56,右,東興鉛鉄工業(株),245,194,250,184,192,1065,3,201,215,216,206,181,1019,"2,084",208.40
8,,603,緒方 彩音,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,152,246,187,224,247,1056,4,168,198,212,203,227,1008,"2,064",206.40
9,,622,渡辺 莉央,56,右,ＩＴカンファー(株),148,181,224,244,197,994,16,220,257,180,224,187,1068,"2,062",206.20
10,,606,田中 美佳,55,右,北小金ボウル,181,247,214,235,172,1049,7,227,189,206,204,179,1005,"2,054",205.40
11,,632,室伏 萌,57,右,フリー,222,235,183,157,222,1019,13,199,202,268,190,172,1031,"2,050",205.00
12,,635,森 ひかり,57,右,フリー,199,200,188,239,182,1008,14,204,191,238,192,200,1025,"2,033",203.30
13,,626,後藤光々音,57,右,(株)サウンド･ストーリー,211,213,206,183,172,985,19,203,245,218,189,193,1048,"2,033",203.30
14,,583,堀井 春花,53,左,Ｊ－Ｂｏｗｌ御坊,223,191,203,212,211,1040,10,269,146,205,190,178,988,"2,028",202.80
15,,611,新舎菜々美,55,右,コスモレーン貝塚,205,225,187,205,233,1055,5,203,169,194,217,183,966,"2,021",202.10
16,,624,小堀香那子,56,右両手,フリー,189,215,170,215,206,995,15,190,244,213,165,206,1018,"2,013",201.30
17,,616,太 琳華,56,右,フリー,216,210,139,182,247,994,17,207,179,195,221,214,1016,"2,010",201.00
18,,589,坂野ニイナ,54,右,ジョイナスボウル,163,211,212,181,215,982,20,220,182,237,201,185,1025,"2,007",200.70
19,,609,緒方 美空,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,192,183,140,213,236,964,24,220,192,205,216,195,1028,"1,992",199.20
20,,619,坪井 美樹,56,右,南日本運輸倉庫(株),239,244,171,188,202,1044,9,200,182,216,182,168,948,"1,992",199.20
21,,595,内田 雪月,54,左,フリー,167,164,192,225,190,938,31,194,203,184,226,245,1052,"1,990",199.00
22,,591,関口 実穂,54,右,プラチナレーンズ,177,194,169,225,174,939,30,199,256,188,180,216,1039,"1,978",197.80
23,,594,三上 彩奈,54,右,(株)Star Like/STAR LIKE BOWL,178,161,181,233,234,987,18,197,186,212,191,197,983,"1,970",197.00
24,,601,河村 怜奈,55,右,フリー,204,223,214,170,224,1035,11,191,153,181,224,182,931,"1,966",196.60
25,,615,野仲 美咲,56,右,ココレーン,204,190,181,171,204,950,26,235,150,217,189,206,997,"1,947",194.70
26,,590,横山 実美,54,右両手,平和島スターボウル,156,160,167,233,200,916,36,211,202,188,200,212,1013,"1,929",192.90
27,,633,鈴木 李音,57,右,フリー,168,178,209,146,232,933,32,223,177,180,234,172,986,"1,919",191.90
28,,596,竹山 亜希,54,右,フリー,185,162,243,199,170,959,25,169,190,190,192,215,956,"1,915",191.50
29,,629,石井 萌佳,57,左,フリー,194,148,175,189,157,863,41,189,203,212,208,237,1049,"1,912",191.20
30,,618,崎山 穂花,56,右,タチバナボウル,202,175,204,199,186,966,21,213,172,189,165,203,942,"1,908",190.80
31,,593,倉田 結,54,右,フリー,158,215,211,187,195,966,22,178,178,165,190,215,926,"1,892",189.20
32,,607,宮入 梨緒,55,右,フリー,212,174,179,191,189,945,27,197,226,133,223,166,945,"1,890",189.00
33,,628,黒瀬 莉乃,57,右,飯塚第一ボウル,155,203,224,185,175,942,28,193,158,161,181,219,912,"1,854",185.40
34,,605,大熊 飛鳥,55,右,フリー,156,169,231,179,183,918,35,196,178,219,154,185,932,"1,850",185.00
35,,608,岩渕 萌香,55,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,158,159,152,180,180,829,43,203,228,163,205,217,1016,"1,845",184.50
36,,604,溝口 睦実,55,右,(株)コロナワールド,151,213,224,174,168,930,33,157,148,191,168,242,906,"1,836",183.60
37,,597,美齊津理子,54,左,フリー,167,171,148,169,205,860,42,191,201,172,224,188,976,"1,836",183.60
38,,625,熊田菜奈海,56,左,フリー,172,186,167,180,176,881,39,169,222,206,195,160,952,"1,833",183.30
39,,586,幸木百合菜,53,左,相模原パークレーンズ,183,201,178,167,181,910,37,148,190,192,158,224,912,"1,822",182.20
40,,631,山田 悠加,57,右,フリー,158,164,200,182,214,918,34,199,169,159,169,199,895,"1,813",181.30
41,,620,酒井みれい,56,右,神奈中平塚ボウル,210,192,197,175,166,940,29,195,138,165,183,191,872,"1,812",181.20
42,,621,石田 玲奈,56,右,平和島スターボウル,155,204,172,164,177,872,40,181,164,170,238,185,938,"1,810",181.00
43,,630,野村 美羽,57,右,クァトロブーム,193,178,151,167,208,897,38,189,211,157,168,162,887,"1,784",178.40
44,,634,根本 遥,57,左,(株)タイトー,179,181,143,163,160,826,44,196,159,128,156,211,850,"1,676",167.60
1,☆アマ,,濱﨑 姫琉,,右,桜ヶ丘ボウリングセンター,193,173,218,268,214,1066,,226,202,216,226,192,1062,"2,128",212.80
2,☆アマ,,濱﨑りりあ,,右,桜ヶ丘ボウリングセンター,248,211,247,206,198,1110,,210,158,194,225,203,990,"2,100",210.00
3,☆アマ,,中村 心,,右,鈴鹿グランドボウル,202,191,267,189,191,1040,,203,190,202,190,235,1020,"2,060",206.00
4,☆アマ,,網代 羅夢,,右,桜ヶ丘ボウリングセンター,233,207,174,151,267,1032,,256,206,205,179,181,1027,"2,059",205.90
5,☆アマ,,須藤 真海,,右,アサヒボウリングセンター,188,187,188,195,204,962,,176,188,196,213,258,1031,"1,993",199.30
6,☆アマ,,黒木 美羽,,右,サウンドボウル牛久店,186,181,167,197,202,933,,217,232,188,198,187,1022,"1,955",195.50
7,☆アマ,,杉山くるみ,,左,江ノ島ボウリングセンター,163,182,144,173,192,854,,226,234,201,176,226,1063,"1,917",191.70
8,☆アマ,,佐鳥 佳純,,左,アイビーボウル北本,194,148,187,168,207,904,,171,172,171,190,230,934,"1,838",183.80
9,☆アマ,,神田 結羽,,右,東名ボール,168,172,218,133,171,862,,199,187,172,225,166,949,"1,811",181.10
10,☆アマ,,國分美桜里,,右,すまいるボウル,190,189,172,176,183,910,,199,128,179,225,152,883,"1,793",179.30
11,☆アマ,,坂井千寿佳,,右,ムサシボウル,194,203,162,183,235,977,,154,172,138,174,171,809,"1,786",178.60
12,☆アマ,,東田 菜穂,,右,MKボウル上賀茂,187,167,184,190,184,912,,191,166,147,202,162,868,"1,780",178.00
13,☆アマ,,井村 瑠菜,,右,フジ取手ボウル,204,183,160,187,152,886,,179,172,140,150,164,805,"1,691",169.10
14,☆アマ,,坂本 桃夏,,右,ウニクスボウル,167,159,153,151,158,788,,181,167,146,180,210,884,"1,672",167.20
15,☆アマ,,佐々木愛純,,右,CKボウル新座,140,165,171,190,158,824,,130,177,152,172,172,803,"1,627",162.70
16,☆アマ,,金丸 心花,,右,オレンジボウル豊川店,149,187,129,162,160,787,,175,181,183,163,129,831,"1,618",161.80
17,☆アマ,,木内 萌実,,右,川崎グランドボウル,181,155,138,162,149,785,,163,166,124,136,135,724,"1,509",150.90
