rank,license_type,license_no,name,term,dominant_hand,sponsor,totalscore,avg_total,half1_score,half1_avg,half1_rank,FirstStage_score,FirstStage_rank,SecondStage_score,SecondStage_rank,half2_score,half2_avg,half2_rank,ThirdStage_score,ThirdStage_avg,ThirdStage_rank,ForthStage_score,ForthStage_avg,ForthStage_rank,score_13,score_14,score_15,stage5_3g_score,total15_score,total15_avg,total15_rank,score_16,score_17,score_18,stage6_3g_score,total18_score,total18_avg,total18_rank,score_19,score_20,score_21,stage7_3g_score,total21_score,total21_avg,total21_rank,score_22,score_23,score_24,stage8_3g_score
1,S,1078,山本 勲,44,左,ＡＢＳ,"5,479",228.29,"2,746",228.83,1,"1,334",2,"1,412",5,"2,733",227.75,2,"1,272",212.00,8,"1,461",243.50,3,235,222,181,638,"3,384",225.60,1,233,191,210,634,"4,018",223.22,1,234,217,238,689,"4,707",224.14,1,215,257,300,772
2,,1452,内藤 広人,61,右,岩屋ｷｬﾉﾝﾎﾞｳﾙ･(株)ｿｼｵｼﾞｬﾊﾟﾝ,"5,353",223.04,"2,694",224.50,3,"1,253",6,"1,441",1,"2,659",221.58,6,"1,273",212.16,7,"1,386",231.00,9,236,210,223,669,"3,363",224.20,2,134,223,247,604,"3,967",220.38,2,205,216,243,664,"4,631",220.52,3,215,249,258,722
3,S,1427,田中 椋也,59,右,クァトロブーム,"5,322",221.75,"2,653",221.08,4,"1,223",11,"1,430",4,"2,669",222.41,4,"1,270",211.66,9,"1,399",233.16,7,174,198,230,602,"3,255",217.00,5,269,224,175,668,"3,923",217.94,3,203,239,238,680,"4,603",219.19,4,243,234,242,719
4,S,1219,川添 奨太,49,右,ハイ･スポーツ社,"5,303",220.95,"2,490",207.50,19,"1,142",30,"1,348",15,"2,813",234.41,1,"1,383",230.50,1,"1,430",238.33,4,209,236,237,682,"3,172",211.46,12,256,227,218,701,"3,873",215.16,5,219,245,205,669,"4,542",216.28,6,300,202,259,761
5,S,1445,宮澤 拓哉,61,右,ﾊﾟｰｸﾚｰﾝ高崎･上武大学/ｻﾝﾌﾞﾘｯｼﾞ,"5,265",219.37,"2,556",213.00,11,"1,225",10,"1,331",17,"2,709",225.75,3,"1,363",227.16,2,"1,346",224.33,12,246,238,205,689,"3,245",216.33,6,185,244,245,674,"3,919",217.72,4,241,225,247,713,"4,632",220.57,2,196,234,203,633
6,S,1287,藤井 信人,52,右,ＩＴカンファー(株)ﾊｲ･ｽﾎﾟｰﾂ社,"5,194",216.41,"2,527",210.58,15,"1,206",14,"1,321",21,"2,667",222.25,5,"1,303",217.16,4,"1,364",227.33,10,245,217,207,669,"3,196",213.06,9,227,199,208,634,"3,830",212.77,8,244,224,245,713,"4,543",216.33,5,209,255,187,651
7,,1458,増田 優希,62,右,岩屋キャノンボウル,"5,170",215.41,"2,622",218.50,5,"1,267",4,"1,355",12,"2,548",212.33,14,"1,148",191.33,39,"1,400",233.33,6,164,216,162,542,"3,164",210.93,13,159,224,223,606,"3,770",209.44,12,213,240,225,678,"4,448",211.80,10,258,210,254,722
8,S,1423,安里 秀策,59,右,(株)コロナワールド,"5,132",213.83,"2,554",212.83,12,"1,143",29,"1,411",6,"2,578",214.83,10,"1,163",193.83,36,"1,415",235.83,5,193,221,189,603,"3,157",210.46,14,203,175,182,560,"3,717",206.50,18,235,258,237,730,"4,447",211.76,12,268,193,224,685
9,,1291,渡邊 雄也,52,右,(株)グランドボウル,"5,122",213.41,"2,554",212.83,13,"1,205",15,"1,349",14,"2,568",214.00,13,"1,228",204.66,19,"1,340",223.33,15,211,206,236,653,"3,207",213.80,8,202,167,206,575,"3,782",210.11,10,213,263,236,712,"4,494",214.00,8,235,222,171,628
10,,1479,立花 仁貴,63,右両手,フリー,"5,120",213.33,"2,585",215.41,8,"1,257",5,"1,328",19,"2,535",211.25,17,"1,222",203.66,21,"1,313",218.83,18,213,162,259,634,"3,219",214.60,7,193,213,182,588,"3,807",211.50,9,256,226,219,701,"4,508",214.66,7,238,179,195,612
