key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
3L,3L-1,S,1429,大久保雄矢,60,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
3L,3L-2,☆アマ,,山田　祐介,選手,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
3L,3L-3,☆アマ,,西田　千里,選手,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
4L,4L-1,,979,須田　毅,40,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
4L,4L-2,☆アマ,,吉田　大祐,選手,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
4L,4L-3,準,344,石原　章夫,11,A,3L・4L,9L・10L,15L・16L,21L・22L,27L・28L,23L・24L,29L・30L,35L・36L,7L・8L,13L・14L
5L,5L-1,,1307,播摩　友和,52,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
5L,5L-2,☆アマ,,古市　達也,選手,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
5L,5L-3,,1117,松本　智弥,45,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
6L,6L-1,,1431,木村　晃,60,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
6L,6L-2,☆アマ,,青山　拓也,選手,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
6L,6L-3,,1403,柿沼　貴史,57,A,5L・6L,11L・12L,17L・18L,23L・24L,29L・30L,25L・26L,31L・32L,3L・4L,9L・10L,15L・16L
7L,7L-1,,1434,原口　優馬,60,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
7L,7L-2,☆アマ,,小田　和希,選手,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
7L,7L-3,,1395,佐藤　貴啓,57,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
8L,8L-1,S,1198,小林　哲也,48,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
8L,8L-2,☆アマ,,林　大夢,選手,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
8L,8L-3,,1442,河内　唯斗,60,A,7L・8L,13L・14L,19L・20L,25L・26L,31L・32L,27L・28L,33L・34L,5L・6L,11L・12L,17L・18L
9L,9L-1,,1369,木田　大輔,55,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
9L,9L-2,☆アマ,,青山　賢治,選手,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
9L,9L-3,,913,水谷　孝敏,37,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
10L,10L-1,,1458,増田　優希,62,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
10L,10L-2,☆アマ,,井岡　聖一,選手,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
10L,10L-3,S,1361,堀ノ内智大,54,A,9L・10L,15L・16L,21L・22L,27L・28L,33L・34L,29L・30L,35L・36L,7L・8L,13L・14L,19L・20L
11L,11L-1,,1101,村上　拓也,45,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
11L,11L-2,☆アマ,,小川　優,選手,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
11L,11L-3,,1376,松田　力也,56,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
12L,12L-1,,1023,岡野　秀幸,42,A,11L・12L,17L・18L,23L・24L,29L・30L,35L・36L,31L・32L,3L・4L,9L・10L,15L・16L,21L・22L
