key,スタートレーン,プロ区分,ライセンスNo,氏名,期,シフト,box_1,box_2,box_3,box_4,box_5,box_6,box_7,box_8,box_9,box_10
3L,3L-1,,494,桑藤　美樹,45,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
3L,3L-2,,555,大坪菜摘美,49,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
3L,3L-3,推,298,松岡美穂子,28,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-1,,369,堂元　美佐,35,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-2,☆アマ,,菅瀬　千春,選手,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
4L,4L-3,S,352,姫路　麗,33,A,3L・4L,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L
5L,5L-1,,615,野仲　美咲,56,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
5L,5L-2,,589,坂野ニイナ,54,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
5L,5L-3,S,598,近藤　菜帆,55,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
6L,6L-1,,561,髙橋　美穂,50,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
6L,6L-2,☆アマ,,藤林　華音,選手,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
6L,6L-3,,540,倉田　萌,48,A,5L・6L,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L
7L,7L-1,,619,坪井　美樹,56,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
7L,7L-2,歴,488,渡辺けあき,45,A,7L・8L,9L・10L,11L・12L,13L・14L,15L・16L,17L・18L,19L・20L,21L・22L,23L・24L,3L・4L
