総合順位,Aシフト順位,Bシフト順位,アマ順位,ライセンス種別,ライセンス番号,氏名,期,投,所属 / 用品契約,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,前半5G T/PIN,前半5G AVG,前半順位,後半5G T/PIN,後半5G AVG,予選10G T/PIN,予選10G AVG
1,,1,,PT,1478,倉持 悠人,63,右,フリー,237,264,217,226,203,215,266,258,248,216,"1,147",229.40,9,"1,203",240.60,"2,350",235.00
2,,2,,,1354,竹永 竜星,54,右両手,ラウンドワンジャパン,233,194,227,234,257,208,248,265,246,210,"1,145",229.00,10,"1,177",235.40,"2,322",232.20
3,,3,,S,1446,斎藤 祐太,61,右,株式会社ボウルスター,239,245,225,258,222,215,245,246,199,196,"1,189",237.80,2,"1,101",220.20,"2,290",229.00
4,,4,,,1220,渡邉 航明,49,右,新小岩ｻﾆｰﾎﾞｳﾙ/ﾊｲ･ｽﾎﾟｰﾂ社/さくら,226,214,236,279,202,223,222,226,244,204,"1,157",231.40,6,"1,119",223.80,"2,276",227.60
5,1,,,,1214,福丸 哲平,48,右,(株)グランドボウル,170,266,246,199,219,260,269,212,225,200,"1,100",220.00,28,"1,166",233.20,"2,266",226.60
6,,5,,,1452,内藤 広人,61,右,岩屋ｷｬﾉﾝﾎﾞｳﾙ･(株)ｿｼｵｼﾞｬﾊﾟﾝ,236,215,237,235,221,203,198,258,219,237,"1,144",228.80,11,"1,115",223.00,"2,259",225.90
7,,6,,,1433,井口 遼太,60,右,MOTIV Bowling Products,235,184,210,259,202,225,257,213,244,217,"1,090",218.00,36,"1,156",231.20,"2,246",224.60
8,2,,,S,1267,森本 健太,51,左,蒲田イモンボウル/ﾊｲ･ｽﾎﾟｰﾂ社,233,233,234,205,247,233,236,205,201,216,"1,152",230.40,8,"1,091",218.20,"2,243",224.30
9,3,,1,☆アマ,,瀬戸 翔,選手,右両手,(アソビックスあさひ),223,212,266,238,214,213,226,248,210,188,"1,153",230.60,7,"1,085",217.00,"2,238",223.80
10,4,,,,1291,渡邊 雄也,52,右,(株)グランドボウル,267,257,223,232,238,234,169,187,230,199,"1,217",243.40,1,"1,019",203.80,"2,236",223.60
11,5,,,,1338,水本 有希,53,右,ボウルアロー松原店,227,234,243,247,224,212,198,203,187,257,"1,175",235.00,5,"1,057",211.40,"2,232",223.20
12,6,,2,☆アマ,,吉田 大祐,選手,左,(稲沢グランドボウル),180,217,222,237,197,280,224,197,231,247,"1,053",210.60,64,"1,179",235.80,"2,232",223.20
13,,7,,S,1289,谷合 貴志,52,右,(株)日本ｹｱｸｵﾘﾃｨ/(有)ﾕｳｷｼｽﾃﾑｻｰﾋﾞｽ,227,223,225,214,255,203,168,253,268,187,"1,144",228.80,12,"1,079",215.80,"2,223",222.30
14,,8,,,1344,竹本 圭実,54,右,賀茂ボール,234,205,180,223,222,172,259,205,279,243,"1,064",212.80,49,"1,158",231.60,"2,222",222.20
15,7,,,S,1345,甘糟 翔太,54,右,江の島ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,235,216,232,250,174,181,225,226,256,226,"1,107",221.40,25,"1,114",222.80,"2,221",222.10
16,8,,,,1476,山本 晃,62,右両手,伊賀にんにんボウル,209,258,267,208,237,208,189,182,235,223,"1,179",235.80,4,"1,037",207.40,"2,216",221.60
17,9,,,S,1429,大久保雄矢,60,左,プロショップ･エム エムボウル,259,221,203,191,202,235,232,279,173,218,"1,076",215.20,45,"1,137",227.40,"2,213",221.30
18,,9,,S,1445,宮澤 拓哉,61,右,ﾊﾟｰｸﾚｰﾝ高崎･上武大学/ｻﾝﾌﾞﾘｯｼﾞ,235,223,159,213,241,217,221,205,257,233,"1,071",214.20,46,"1,133",226.60,"2,204",220.40
19,,10,,,1178,平井 翔,47,右,Zohy、(株)コロナワールド,257,235,203,244,185,217,203,209,233,208,"1,124",224.80,19,"1,070",214.00,"2,194",219.40
20,,11,3,☆アマ,,伊東 将成,選手,右,(アソビックスあさひ),205,203,220,258,226,194,269,205,225,188,"1,112",222.40,24,"1,081",216.20,"2,193",219.30
21,10,,,,1454,前田 祐輔,61,右,NPO法人ライフアップサポート,217,213,219,168,214,278,204,190,265,224,"1,031",206.20,83,"1,161",232.20,"2,192",219.20
22,,12,,,1085,山下 昌吾,44,右,タチバナボウル,194,242,160,226,184,245,246,244,225,226,"1,006",201.20,108,"1,186",237.20,"2,192",219.20
23,,13,,S,1400,江川 司,57,左,(株)GENDA GiGO Entertainment,222,193,194,215,204,199,268,210,256,224,"1,028",205.60,85,"1,157",231.40,"2,185",218.50
24,11,,,,1349,入口 光司,54,右,ラウンドワンジャパン,213,248,214,235,207,253,227,180,235,171,"1,117",223.40,21,"1,066",213.20,"2,183",218.30
25,12,,,S,1423,安里 秀策,59,右,(株)コロナワールド,222,268,186,187,267,195,216,183,236,220,"1,130",226.00,14,"1,050",210.00,"2,180",218.00
26,,14,,,1435,德久 恵大,60,右,メリーランドタケオボウル,226,191,256,192,232,173,225,258,222,204,"1,097",219.40,31,"1,082",216.40,"2,179",217.90
27,13,,,,1307,播摩 友和,52,右,東名ボール,225,171,222,223,202,234,201,206,278,215,"1,043",208.60,76,"1,134",226.80,"2,177",217.70
28,14,,,,1369,木田 大輔,55,右両手,東京ポートボウル,154,217,289,200,225,238,245,191,236,181,"1,085",217.00,38,"1,091",218.20,"2,176",217.60
29,,15,,,1424,坂本 就馬,59,右,永山コパボウル,221,268,170,212,235,217,238,185,245,180,"1,106",221.20,26,"1,065",213.00,"2,171",217.10
30,,16,,,1275,稲葉 竜太,51,右,StarLike / STARLIKEBOWL,202,267,227,236,202,173,191,249,248,175,"1,134",226.80,13,"1,036",207.20,"2,170",217.00
31,15,,,,1160,遠藤 誠,47,右,フリー,247,206,220,218,173,214,215,268,164,242,"1,064",212.80,51,"1,103",220.60,"2,167",216.70
32,,17,,S,1287,藤井 信人,52,右,ＩＴカンファー(株)ﾊｲ･ｽﾎﾟｰﾂ社,183,164,256,196,188,237,237,236,200,267,987,197.40,125,"1,177",235.40,"2,164",216.40
33,,18,,S,1394,藤村 隆史,57,右,(株)コロナワールド,232,235,190,222,237,203,200,212,220,211,"1,116",223.20,23,"1,046",209.20,"2,162",216.20
34,,19,,PM,1477,西山 翔悟,63,右,ITカンファー/ﾊｲ･ｽﾎﾟｰﾂ社,186,197,195,225,202,236,197,255,236,232,"1,005",201.00,110,"1,156",231.20,"2,161",216.10
35,16,,,,1101,村上 拓也,45,右,ジョイナスボウル坂東,236,207,209,279,253,212,175,181,215,189,"1,184",236.80,3,972,194.40,"2,156",215.60
36,,20,,,1390,吉野 浩章,56,右,フリー,207,238,223,236,225,210,189,174,215,235,"1,129",225.80,15,"1,023",204.60,"2,152",215.20
37,17,,,S,1219,川添 奨太,49,右,ハイ･スポーツ社,224,221,208,213,179,239,225,215,196,227,"1,045",209.00,71,"1,102",220.40,"2,147",214.70
38,,21,,S,1443,藤永 北斗,61,左,"N&KCo.,Ltd./STEEL SPORTS",204,211,178,216,208,254,197,238,202,236,"1,017",203.40,99,"1,127",225.40,"2,144",214.40
39,,22,,歴,1384,水野 耕佑,56,右,岩屋キャノンボウル,204,183,236,199,258,207,257,186,214,197,"1,080",216.00,40,"1,061",212.20,"2,141",214.10
40,18,,,,1464,島田 卓也,62,右両手,フリー,190,224,246,217,183,201,235,213,222,208,"1,060",212.00,55,"1,079",215.80,"2,139",213.90
41,19,,4,☆アマ,,山本 和紀,選手,右,(アソビックスあさひ),217,232,222,214,232,259,190,182,210,181,"1,117",223.40,20,"1,022",204.40,"2,139",213.90
