総合順位,Aシフト順位,Bシフト順位,アマ順位,ライセンス種別,ライセンス番号,氏名,期,投,所属 / 用品契約,1G,2G,3G,4G,5G,6G,7G,8G,9G,10G,前半5G T/PIN,前半5G AVG,前半順位,後半5G T/PIN,後半5G AVG,予選10G T/PIN,予選10G AVG
1,1,,,S,582,中島 瑞葵,53,右,フリー/ABS,182,247,218,235,159,210,231,199,299,211,"1,041",208.20,11,"1,150",230.00,"2,191",219.10
2,,1,,S,599,石田 万音,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,245,224,183,237,242,237,190,199,216,207,"1,131",226.20,1,"1,049",209.80,"2,180",218.00
3,2,,,,615,野仲 美咲,56,右,ココレーン,190,224,228,207,220,230,235,227,202,206,"1,069",213.80,6,"1,100",220.00,"2,169",216.90
4,3,,,,514,小久保実希,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,249,204,164,261,170,203,222,248,211,195,"1,048",209.60,8,"1,079",215.80,"2,127",212.70
5,4,,,S,583,堀井 春花,53,左,Ｊ－Ｂｏｗｌ御坊,220,223,236,224,198,202,215,198,201,206,"1,101",220.20,2,"1,022",204.40,"2,123",212.30
6,,2,,,507,寺下 智香,47,右,神戸六甲ボウル/ｻﾝﾌﾞﾘｯｼﾞ,226,197,223,218,229,203,224,184,215,179,"1,093",218.60,3,"1,005",201.00,"2,098",209.80
7,5,,,S,352,姫路 麗,33,右,フリー,225,185,208,224,192,178,189,215,239,227,"1,034",206.80,13,"1,048",209.60,"2,082",208.20
8,6,,,CS,223,長縄多禧子,21,右,スターレーン/ｻﾝﾌﾞﾘｯｼﾞ,190,215,174,232,184,220,220,217,192,216,995,199.00,32,"1,065",213.00,"2,060",206.00
9,,3,,S,524,山田 幸,48,右,ボウルアロー/ABS,168,258,201,232,216,187,193,203,217,184,"1,075",215.00,5,984,196.80,"2,059",205.90
10,7,,,,540,倉田 萌,48,右,サッポロオリンピアボウル,237,202,192,168,173,191,224,257,186,214,972,194.40,44,"1,072",214.40,"2,044",204.40
11,8,,,CS,587,今井 双葉,54,右,ＩＴカンファー(株),209,209,211,166,235,233,180,188,222,183,"1,030",206.00,14,"1,006",201.20,"2,036",203.60
12,,4,,,521,秋光 楓,47,右,(株)StarLike/ｱｲﾋﾞｰﾎﾞｳﾙ越谷,198,177,179,218,172,191,237,233,236,194,944,188.80,65,"1,091",218.20,"2,035",203.50
13,9,,,,617,安田明香里,56,右,東興鉛鉄工業(株),201,224,191,159,175,227,183,217,231,213,950,190.00,62,"1,071",214.20,"2,021",202.10
14,,5,,,623,井﨑 寛菜,56,右,勝田パークボウル,206,227,171,177,172,204,218,226,174,240,953,190.60,58,"1,062",212.40,"2,015",201.50
15,10,,,,523,内藤真裕実,48,右,フリー/ｻﾝﾌﾞﾘｯｼﾞ,245,225,184,185,182,209,175,228,155,226,"1,021",204.20,17,993,198.60,"2,014",201.40
16,11,,,,478,小林あゆみ,44,左,eスポフィールド･ﾄﾐｺｼ高島平ﾎﾞｳﾙ,206,188,177,203,200,176,186,180,254,244,974,194.80,43,"1,040",208.00,"2,014",201.40
17,12,,,S,559,霜出 佳奈,50,右,サンスクエアボウル/ﾊｲ･ｽﾎﾟｰﾂ社,168,245,153,213,192,207,194,210,197,234,971,194.20,45,"1,042",208.40,"2,013",201.30
18,13,,,,546,星野 恵梨,49,右,ＡＣグランド,214,224,159,203,191,192,216,252,192,158,991,198.20,36,"1,010",202.00,"2,001",200.10
19,14,,,,578,キム･ソヒョン,52,右,フジ取手ボウル,193,202,184,257,215,223,182,171,190,182,"1,051",210.20,7,948,189.60,"1,999",199.90
20,15,,,S,600,金子 萌夏,55,右,相模原パークレーンズ,202,177,187,216,213,180,222,168,243,188,995,199.00,31,"1,001",200.20,"1,996",199.60
21,,6,,,560,大久保咲桜,50,右,ボウリング王国スポルト横須賀店,205,188,245,194,177,234,158,231,167,189,"1,009",201.80,20,979,195.80,"1,988",198.80
22,16,,,,445,鈴木 亜季,41,右,(株)岩田工業,172,220,196,176,192,217,159,181,236,239,956,191.20,56,"1,032",206.40,"1,988",198.80
23,,7,,S,384,松永 裕美,37,右,ＡＢＳ,179,193,232,215,266,218,165,136,194,189,"1,085",217.00,4,902,180.40,"1,987",198.70
24,,8,,,467,白石 順子,43,右,(株)サウンド･ストーリー,191,210,228,169,158,162,198,199,202,268,956,191.20,57,"1,029",205.80,"1,985",198.50
25,17,,,S,364,丹羽由香梨,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,207,181,190,231,237,180,210,209,139,200,"1,046",209.20,9,938,187.60,"1,984",198.40
26,,9,,,556,澤田 春花,49,右,フリー,217,162,178,230,204,225,193,201,169,204,991,198.20,37,992,198.40,"1,983",198.30
27,,10,,PT,626,後藤光々音,57,右,(株)サウンド･ストーリー,214,202,200,178,205,191,214,188,220,167,999,199.80,25,980,196.00,"1,979",197.90
28,,11,,,509,前屋 瑠美,47,右,フリー,209,226,214,175,212,190,204,171,150,224,"1,036",207.20,12,939,187.80,"1,975",197.50
29,18,,,S,450,佐藤まさみ,42,右,ダイトースターレーン/ABS,204,178,177,224,182,213,202,216,169,203,965,193.00,50,"1,003",200.60,"1,968",196.80
30,,12,,,486,田中 亜実,44,右,フリー,180,160,223,222,237,200,221,192,166,167,"1,022",204.40,16,946,189.20,"1,968",196.80
31,19,,,,286,佐藤由実子,27,右,タチバナボウル,192,165,257,211,171,160,223,197,235,152,996,199.20,29,967,193.40,"1,963",196.30
32,,13,,S,558,坂倉 凜,50,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,195,202,233,219,153,217,178,177,195,194,"1,002",200.40,24,961,192.20,"1,963",196.30
