rank,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,half1_score,half1_rank,half2_score,totalscore,avg_total
1,歴,507,寺下 智香,47,右,神戸六甲ボウル/ｻﾝﾌﾞﾘｯｼﾞ,270,278,224,205,202,189,259,244,260,234,"1,179",3,"1,186","2,365",236.50
2,S,526,久保田彩花,48,右,相模原パークレーンズ,269,226,238,225,215,192,254,224,214,247,"1,173",4,"1,131","2,304",230.40
3,S,568,越智 真南,51,右,平和島スターボウル/ABS,245,211,213,236,233,233,227,223,218,248,"1,138",6,"1,149","2,287",228.70
4,S,352,姫路 麗,33,右,フリー,204,257,289,245,204,208,200,200,200,256,"1,199",1,"1,064","2,263",226.30
5,歴,494,桑藤 美樹,45,左,(株)スポルト/ABS,254,245,268,235,180,219,211,215,194,213,"1,182",2,"1,052","2,234",223.40
6,S,599,石田 万音,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,205,167,215,243,235,280,213,203,236,231,"1,065",20,"1,163","2,228",222.80
7,,615,野仲 美咲,56,右,ココレーン,202,231,191,237,300,196,258,191,209,210,"1,161",5,"1,064","2,225",222.50
8,S,583,堀井 春花,53,左,Ｊ－Ｂｏｗｌ御坊,216,156,218,215,232,248,235,244,203,258,"1,037",33,"1,188","2,225",222.50
9,S,559,霜出 佳奈,50,右,サンスクエアボウル/ﾊｲ･ｽﾎﾟｰﾂ社,214,158,258,197,247,227,203,227,186,290,"1,074",19,"1,133","2,207",220.70
10,S,533,川﨑 由意,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,247,208,200,247,227,227,212,180,216,234,"1,129",7,"1,069","2,198",219.80
11,,459,森田 和紀,42,右,ForestBear,156,178,220,234,182,258,204,277,242,246,970,66,"1,227","2,197",219.70
12,,560,大久保咲桜,50,右,ボウリング王国スポルト横須賀店,268,169,181,237,243,190,185,217,244,258,"1,098",13,"1,094","2,192",219.20
13,,514,小久保実希,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,184,245,266,220,184,191,222,258,226,193,"1,099",12,"1,090","2,189",218.90
14,CS,586,幸木百合菜,53,左,相模原パークレーンズ,185,238,209,259,185,234,242,205,200,227,"1,076",18,"1,108","2,184",218.40
15,S,600,金子 萌夏,55,右,相模原パークレーンズ,222,216,219,256,199,213,215,243,186,203,"1,112",8,"1,060","2,172",217.20
16,,525,宇山 侑花,48,右,小嶺シティボウル/ABS,257,267,190,207,174,181,225,217,227,213,"1,095",15,"1,063","2,158",215.80
17,,469,安藤 瞳,43,右,東名ボール,246,248,205,207,193,233,185,192,253,196,"1,099",11,"1,059","2,158",215.80
18,S,450,佐藤まさみ,42,右,ダイトースターレーン/ABS,226,206,199,221,179,219,186,234,216,267,"1,031",37,"1,122","2,153",215.30
19,S,384,松永 裕美,37,右,ＡＢＳ,202,233,159,195,165,256,210,258,206,257,954,72,"1,187","2,141",214.10
20,S,558,坂倉 凜,50,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,213,244,222,192,175,222,214,202,246,206,"1,046",27,"1,090","2,136",213.60
21,,490,大根谷 愛,45,右,Ｅ－ＢＯＷＬトマト西宮,249,150,226,238,230,224,214,227,185,193,"1,093",16,"1,043","2,136",213.60
22,,570,本橋 優美,51,右,スターレーン,217,196,211,188,222,227,224,214,213,214,"1,034",35,"1,092","2,126",212.60
23,S,613,秋吉 夕紀,56,右,スターレーン,209,237,195,192,226,189,173,239,225,233,"1,059",22,"1,059","2,118",211.80
24,S,582,中島 瑞葵,53,右,フリー/ABS,223,244,180,216,190,216,193,206,228,215,"1,053",25,"1,058","2,111",211.10
25,,523,内藤真裕実,48,右,フリー/ｻﾝﾌﾞﾘｯｼﾞ,226,223,179,205,188,267,201,216,233,171,"1,021",41,"1,088","2,109",210.90
26,歴,330,川口富美恵,32,右,パピオボウル,170,190,194,200,192,222,203,246,246,245,946,75,"1,162","2,108",210.80
27,S,365,名和 秋,35,右,(株)コロナワールド,191,182,265,267,205,201,178,170,207,231,"1,110",10,987,"2,097",209.70
28,,335,森 ルミ,32,左,多治見パークレーンズ/ABS,266,210,184,192,258,247,180,176,184,193,"1,110",9,980,"2,090",209.00
29,,470,小林よしみ,43,右,イリスボウル,185,216,211,181,192,264,237,181,195,223,985,58,"1,100","2,085",208.50
30,歴,478,小林あゆみ,44,左,eスポフィールド･ﾄﾐｺｼ高島平ﾎﾞｳﾙ,168,247,216,179,226,152,192,222,223,258,"1,036",34,"1,047","2,083",208.30
31,,371,藤田 麻衣,35,右,伊勢原ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,179,179,254,227,192,217,193,236,236,168,"1,031",38,"1,050","2,081",208.10
32,,616,太 琳華,56,右,フリー,179,208,202,175,214,213,213,204,266,206,978,62,"1,102","2,080",208.00
33,,603,緒方 彩音,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,203,204,214,202,235,225,228,202,185,179,"1,058",24,"1,019","2,077",207.70
34,,521,秋光 楓,47,右,(株)StarLike/ｱｲﾋﾞｰﾎﾞｳﾙ越谷,212,168,181,196,193,239,200,235,224,229,950,74,"1,127","2,077",207.70
35,,557,水谷 若菜,50,右,フリー/フタバオンラインショップ,182,206,218,247,171,245,223,186,173,224,"1,024",40,"1,051","2,075",207.50
36,,515,坂倉にいな,47,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,190,259,227,205,181,189,197,225,211,190,"1,062",21,"1,012","2,074",207.40
37,歴,372,板倉奈智美,36,右,ﾋｻｶﾌﾟﾛｼｮｯﾌﾟ/ﾊｲ･ｽﾎﾟｰﾂ社,216,222,202,183,191,193,203,194,189,280,"1,014",45,"1,059","2,073",207.30
38,CS,587,今井 双葉,54,右,ＩＴカンファー(株),163,236,259,194,207,192,206,204,214,194,"1,059",23,"1,010","2,069",206.90
39,S,524,山田 幸,48,右,ボウルアロー/ABS,189,200,254,226,160,239,182,214,169,232,"1,029",39,"1,036","2,065",206.50
40,,584,原野 萌花,53,右,フラワーボウル,233,191,205,193,219,221,207,208,184,201,"1,041",31,"1,021","2,062",206.20
41,,540,倉田 萌,48,右,サッポロオリンピアボウル,179,206,188,216,177,216,256,201,186,236,966,67,"1,095","2,061",206.10
42,,537,岩見 彩乃,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,248,213,212,163,208,196,193,202,221,203,"1,044",30,"1,015","2,059",205.90
43,,622,渡辺 莉央,56,右,ＩＴカンファー(株),184,156,193,268,245,214,181,247,177,194,"1,046",28,"1,013","2,059",205.90
44,,614,川田 菜摘,56,右,フリー/ABS,186,194,203,192,231,192,206,226,180,244,"1,006",50,"1,048","2,054",205.40
45,S,598,近藤 菜帆,55,右,ALSOK愛知株式会社,248,187,225,245,192,187,193,132,246,198,"1,097",14,956,"2,053",205.30
46,,289,中谷 優子,28,右,ラウンドワンジャパン/ﾊｲ･ｽﾎﾟｰﾂ社,194,219,204,257,145,221,214,189,224,185,"1,019",43,"1,033","2,052",205.20
47,S,364,丹羽由香梨,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,171,204,226,185,227,184,171,237,185,256,"1,013",46,"1,033","2,046",204.60
48,,440,仲谷 和世,40,左,(株)コロナワールド,225,150,188,223,189,222,227,231,202,189,975,64,"1,071","2,046",204.60
49,☆アマ,,藤林 華音,選手,右,(ボウルアロー八尾店),222,135,166,201,247,268,193,214,195,202,971,65,"1,072","2,043",204.30
50,,543,松尾 星伽,49,右,ラウンドワンジャパン/ABS,257,206,217,197,207,189,165,195,195,214,"1,084",17,958,"2,042",204.20
51,,553,廣澤 一美,49,右,(株)ＬＴＢ/ﾄﾐｺｼ高島平ﾎﾞｳﾙ,200,159,248,200,196,212,213,226,219,162,"1,003",52,"1,032","2,035",203.50
52,,475,舟本 舞,44,右,(株)グランドボウル,202,181,197,161,257,211,214,216,194,199,998,54,"1,034","2,032",203.20
53,,602,中野 麻希,55,右,フリー,219,194,207,188,199,213,213,199,199,197,"1,007",49,"1,021","2,028",202.80
54,,627,川口 茉紀,57,右,フリー,197,212,207,218,197,200,182,225,190,200,"1,031",36,997,"2,028",202.80
55,,497,小泉奈津美,46,右,(株)グランドボウル,217,222,169,193,202,188,183,205,236,205,"1,003",51,"1,017","2,020",202.00
56,,528,浅田 梨奈,48,右,スターレーン,180,170,178,156,212,192,206,210,247,268,896,87,"1,123","2,019",201.90
57,,530,飯田 菜々,48,左,サンスクエアボウル,218,200,165,184,211,199,169,179,248,242,978,63,"1,037","2,015",201.50
58,☆アマ,,髙本 聖菜,選手,右,(半田グランドボウル),200,232,186,185,214,180,162,247,190,209,"1,017",44,988,"2,005",200.50
