rank,license_type,license_no,name,term,dominant_hand,sponsor,title_info,points_ranking_2024,current_points_rank,score_1,score_2,score_3,score_4,stage1_totalscore,stage1_avg,stage1_rank,score_5,score_6,score_7,score_8,stage2_totalscore,score_9,score_10,score_11,score_12,stage3_totalscore,g12_totalscore,g12_avg,g12_rank,score_13,score_14,score_15,score_16,stage4_totalscore,half1_score,half1_rank,half1_avg,half2_score,half2_avg,totalscore,gamecount,avg_total
1,CS,586,幸木百合菜,53,左,相模原パークレーンズ,2,23,22,246,229,209,177,861,215.25,10,255,225,254,257,991,258,277,203,199,937,"2,789",232.41,1,214,254,199,246,913,"1,852",2,231.50,"1,850",231.25,"3,702",16,231.37
2,S,582,中島 瑞葵,53,右,フリー/ABS,10,1,4,182,199,211,216,808,202.00,35,277,255,222,199,953,225,223,237,204,889,"2,650",220.83,6,269,234,238,224,965,"1,761",6,220.12,"1,854",231.75,"3,615",16,225.93
3,S,526,久保田彩花,48,右,相模原パークレーンズ,9(2),4,3,267,254,223,223,967,241.75,2,215,221,172,238,846,217,252,215,205,889,"2,702",225.16,3,229,242,192,212,875,"1,813",5,226.62,"1,764",220.50,"3,577",16,223.56
4,,537,岩見 彩乃,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,0,57,44,235,279,222,249,985,246.25,1,247,257,211,215,930,204,171,196,239,810,"2,725",227.08,2,237,223,172,207,839,"1,915",1,239.37,"1,649",206.12,"3,564",16,222.75
5,S,599,石田 万音,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,5,2,7,257,180,182,190,809,202.25,33,237,204,201,245,887,168,181,233,235,817,"2,513",209.41,20,257,250,258,225,990,"1,696",14,212.00,"1,807",225.87,"3,503",16,218.93
6,,513,鶴井 亜南,47,左,"N&KCo.,Ltd./ABS",0,27,54,228,236,213,277,954,238.50,3,222,226,217,214,879,203,210,202,227,842,"2,675",222.91,4,225,194,194,201,814,"1,833",3,229.12,"1,656",207.00,"3,489",16,218.06
7,,603,緒方 彩音,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,0,62,28,147,204,200,201,752,188.00,67,276,233,221,208,938,202,214,253,174,843,"2,533",211.08,16,268,234,196,258,956,"1,690",18,211.25,"1,799",224.87,"3,489",16,218.06
8,,530,飯田 菜々,48,左,サンスクエアボウル,0,115,75,185,247,209,199,840,210.00,16,234,205,236,217,892,205,226,188,220,839,"2,571",214.25,10,258,214,214,226,912,"1,732",9,216.50,"1,751",218.87,"3,483",16,217.68
9,S,600,金子 萌夏,55,右,相模原パークレーンズ,0,12,25,181,225,192,246,844,211.00,15,201,259,188,193,841,244,241,207,230,922,"2,607",217.25,7,194,212,234,206,846,"1,685",19,210.62,"1,768",221.00,"3,453",16,215.81
10,,514,小久保実希,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,0,20,6,255,280,153,184,872,218.00,7,200,199,204,216,819,226,279,247,228,980,"2,671",222.58,5,193,194,188,200,775,"1,691",17,211.37,"1,755",219.37,"3,446",16,215.37
11,,615,野仲 美咲,56,右,ココレーン,0,37,13,223,227,174,209,833,208.25,21,204,234,222,238,898,202,193,181,218,794,"2,525",210.41,17,215,247,226,213,901,"1,731",10,216.37,"1,695",211.87,"3,426",16,214.12
12,,372,板倉奈智美,36,右,ﾋｻｶﾌﾟﾛｼｮｯﾌﾟ/ﾊｲ･ｽﾎﾟｰﾂ社,7,39,48,205,220,169,197,791,197.75,42,223,256,200,182,861,236,205,192,196,829,"2,481",206.75,29,203,226,248,268,945,"1,652",31,206.50,"1,774",221.75,"3,426",16,214.12
13,S,598,近藤 菜帆,55,右,ALSOK愛知株式会社,2,8,21,167,233,247,223,870,217.50,8,194,235,145,211,785,197,200,222,219,838,"2,493",207.75,26,231,218,247,224,920,"1,655",29,206.87,"1,758",219.75,"3,413",16,213.31
14,S,384,松永 裕美,37,右,ＡＢＳ,16,5,27,205,244,200,242,891,222.75,6,234,226,258,205,923,217,196,200,160,773,"2,587",215.58,8,215,180,211,217,823,"1,814",4,226.75,"1,596",199.50,"3,410",16,213.12
15,S,544,坂本 かや,49,右,永山コパボウル,7(1),7,8,177,163,216,174,730,182.50,76,280,193,205,204,882,225,216,185,191,817,"2,429",202.41,37,264,257,214,237,972,"1,612",46,201.50,"1,789",223.62,"3,401",16,212.56
16,,616,太 琳華,56,右,フリー,0,52,51,234,209,223,235,901,225.25,5,213,204,222,193,832,222,212,167,167,768,"2,501",208.41,23,238,224,223,214,899,"1,733",8,216.62,"1,667",208.37,"3,400",16,212.50
17,,614,川田 菜摘,56,右,フリー/ABS,0,31,19,195,224,181,225,825,206.25,28,212,212,216,186,826,244,199,257,214,914,"2,565",213.75,12,209,201,205,219,834,"1,651",32,206.37,"1,748",218.50,"3,399",16,212.43
18,S,450,佐藤まさみ,42,右,ダイトースターレーン/ABS,5,6,31,171,171,211,277,830,207.50,24,177,216,247,199,839,249,249,209,200,907,"2,576",214.66,9,179,184,232,215,810,"1,669",23,208.62,"1,717",214.62,"3,386",16,211.62
19,,543,松尾 星伽,49,右,ラウンドワンジャパン/ABS,2,42,62,249,220,198,246,913,228.25,4,191,169,218,204,782,240,221,186,175,822,"2,517",209.75,18,235,205,196,222,858,"1,695",16,211.87,"1,680",210.00,"3,375",16,210.93
