rank,rank_Ashift,rank_Bshift,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,half1_score,half1_rank,score_5,score_6,score_7,score_8,half2_score,total_score,total_avg
1,1,,,1459,山本 義達,62,右両手,フリー,258,258,275,225,"1,016",A 1,246,224,221,191,882,"1,898",237.25
2,2,,,1454,前田 祐輔,61,右,NPO法人ライフアップサポート,257,216,235,237,945,A 2,268,242,231,208,949,"1,894",236.75
3,3,,,1434,原口 優馬,60,右,愛知川ボウル /(株)ﾊｲ･ｽﾎﾟｰﾂ社,236,287,216,202,941,A 4,267,201,219,214,901,"1,842",230.25
4,,1,,1482,井之上准己,63,右両手,菊陽ボウル,196,219,236,243,894,B 3,232,196,268,227,923,"1,817",227.12
5,,2,S,1432,羽ヶ﨑匠海,60,右,クァトロブーム/(株)ボウルスター,258,180,225,182,845,B12,278,224,217,235,954,"1,799",224.87
6,4,,PM,1477,西山 翔悟,63,右,ITカンファー/ﾊｲ･ｽﾎﾟｰﾂ社,175,237,226,264,902,A 8,254,182,205,255,896,"1,798",224.75
7,,3,,1467,菊田 樹,62,右両手,東名ボール,258,246,258,194,956,B 1,203,227,209,201,840,"1,796",224.50
8,5,,,1488,渡邊 元造,63,右,フリー,246,242,180,256,924,A 5,196,206,216,235,853,"1,777",222.12
9,6,,,1475,積田 蒼生,62,右両手,SAP日野ボウル･関東柔道整復専門学校,207,210,244,221,882,A10,251,225,158,257,891,"1,773",221.62
10,7,,,1499,梅木 孝宏,63,右,フリー,204,203,214,223,844,A15,212,205,273,236,926,"1,770",221.25
11,,4,,1452,内藤 広人,61,右,岩屋ｷｬﾉﾝﾎﾞｳﾙ･(株)ｿｼｵｼﾞｬﾊﾟﾝ,247,214,267,165,893,B 4,236,258,213,169,876,"1,769",221.12
12,8,,,1470,安谷屋綱大,62,右,フリー,202,189,253,236,880,A11,205,224,182,256,867,"1,747",218.37
13,9,,S,1446,斎藤 祐太,61,右,株式会社ボウルスター,215,238,219,214,886,A 9,237,207,191,223,858,"1,744",218.00
14,,5,S,1444,内藤慎之介,61,左,アルプラザボウル亀岡,176,258,210,221,865,B 9,201,243,240,193,877,"1,742",217.75
15,,6,,1479,立花 仁貴,63,右両手,フリー,188,223,232,232,875,B 7,197,210,265,193,865,"1,740",217.50
16,,7,,1476,山本 晃,62,右両手,伊賀にんにんボウル,219,174,206,206,805,B21,259,192,249,234,934,"1,739",217.37
17,10,,,1431,木村 晃,60,右,(株)ボウルスター,214,204,227,217,862,A14,259,203,222,192,876,"1,738",217.25
18,,8,,1451,小野 在由,61,右,フリー,221,247,212,218,898,B 2,228,215,221,176,840,"1,738",217.25
19,,9,,1487,御手洗彰彦,63,右両手,松山中央ボウル,226,199,234,221,880,B 6,189,258,222,188,857,"1,737",217.12
20,11,,,1448,木村 謙太,61,右,"N&KCo.,Ltd./狐ヶ崎ﾔﾝｸﾞﾗﾝﾄﾞﾎﾞｳﾙ/ﾊｲ･ｽﾎﾟｰﾂ社",180,246,258,257,941,A 3,225,210,179,181,795,"1,736",217.00
21,12,,,1490,栗原 翔,63,右両手,フリー,186,197,243,240,866,A13,178,199,233,241,851,"1,717",214.62
22,,10,,1435,徳久 恵大,60,右,メリーランドタケオボウル,232,204,168,225,829,B18,215,235,213,221,884,"1,713",214.12
23,,11,,1484,熊木 大地,63,右,ラウンドワンジャパン,243,246,180,213,882,B 5,179,226,215,205,825,"1,707",213.37
24,,12,,1453,石田 智輝,61,右,ＢＯＷＬ１２３,181,258,237,157,833,B16,184,267,191,225,867,"1,700",212.50
25,13,,,1442,河内 唯斗,60,右,プロショップＤＧ,190,175,187,202,754,A24,222,256,248,222,948,"1,702",212.75
26,14,,,1430,田中 義一,60,右,(株)広島パークレーン,203,279,226,209,917,A 6,247,182,200,154,783,"1,700",212.50
27,,13,,1455,村上 裕一,61,右両手,フリー,153,213,223,200,789,B23,235,182,255,234,906,"1,695",211.87
28,15,,,1461,鶴見 亮剛,62,左,フリー,181,236,244,247,908,A 7,204,179,185,206,774,"1,682",210.25
29,,14,,1471,千葉 幸太,62,右,ジョイランドボウルみしま,188,275,209,198,870,B 8,211,244,167,176,798,"1,668",208.50
30,,15,,1483,山中 麗,63,右両手,アミューズメントシティラクゾー野田店,179,163,208,277,827,B19,230,198,209,201,838,"1,665",208.12
31,,16,,1496,濵名 晃司,63,右両手,フリー,213,172,226,168,779,B26,214,235,222,212,883,"1,662",207.75
32,,17,,1468,佐藤 亜優,62,右,アツギプラザボウル,198,208,203,178,787,B24,181,216,243,231,871,"1,658",207.25
33,16,,,1450,森岡 昌嵩,61,右両手,フリー,153,184,216,245,798,A20,278,225,142,214,859,"1,657",207.12
34,,18,,1485,山﨑 陸斗,63,右,ボウルアロー八尾店,158,178,244,235,815,B20,206,224,242,167,839,"1,654",206.75
35,,19,,1481,福原 尊,63,右両手,(株)コロナワールド,213,221,186,212,832,B17,198,201,227,190,816,"1,648",206.00
36,,20,,1474,部谷 嘉朗,62,右,J-Bowl御坊店,173,155,279,233,840,B13,202,176,200,223,801,"1,641",205.12
37,,21,,1486,春木 悠里,63,右,フリー,234,191,205,205,835,B14,210,183,190,215,798,"1,633",204.12
38,17,,,1458,増田 優希,62,右,岩屋キャノンボウル,246,193,235,195,869,A12,188,177,195,202,762,"1,631",203.87
39,18,,,1495,竹下 和志,63,右両手,フリー,184,162,255,136,737,A29,222,224,213,234,893,"1,630",203.75
40,,22,,1489,藤井 大河,63,右,LOUNGE & BOWL B-lax,227,202,205,199,833,B15,225,182,191,197,795,"1,628",203.50
41,19,,,1440,鈴木 健也,60,右両手,ムサシボウル,188,182,235,221,826,A17,218,212,172,189,791,"1,617",202.12
42,,23,,1466,犬飼 健志,62,右両手,東名ボール,193,200,244,210,847,B10,205,198,169,194,766,"1,613",201.62
43,,24,,1463,藤 博文,62,右,フリー,175,191,225,256,847,B11,180,162,215,206,763,"1,610",201.25
44,20,,,1437,鈴木 一彌,60,左,ゴールドレーン,159,245,188,181,773,A22,223,198,171,237,829,"1,602",200.25
45,21,,,1469,田野岡大夢,62,右,ボウルアロー八尾店,211,201,246,161,819,A18,135,205,237,202,779,"1,598",199.75
46,,25,S,1445,宮澤 拓哉,61,右,ﾊﾟｰｸﾚｰﾝ高崎･上武大学/ｻﾝﾌﾞﾘｯｼﾞ,159,182,240,213,794,B22,230,193,191,173,787,"1,581",197.62
47,22,,,1436,入江 健太,60,右,(株)大成,233,224,227,146,830,A16,151,193,177,224,745,"1,575",196.87
48,,26,,1493,豊田 晃平,63,右両手,プロショップ エム,169,169,177,133,648,B32,222,279,184,234,919,"1,567",195.87
49,,27,,1456,太田 貴久,61,右,J-Bowl御坊,171,168,148,199,686,B31,237,235,224,180,876,"1,562",195.25
50,,28,,1497,山崎 昭太,63,右,富山地鉄ゴールデンボウル,174,170,222,221,787,B25,202,193,173,199,767,"1,554",194.25
51,23,,,1441,金子 猛,60,右,ジョイタウン新発田,196,184,224,147,751,A25,179,172,248,202,801,"1,552",194.00
52,,29,,1494,山﨑雄太郎,63,右,フリー,181,209,193,180,763,B28,214,236,149,180,779,"1,542",192.75
53,24,,,1472,笹島新太郎,62,右両手,(有)笹島看護師家政婦紹介所,129,201,188,254,772,A23,193,179,166,221,759,"1,531",191.37
54,,30,S,1429,大久保雄矢,60,左,プロショップ･エム エムボウル,193,183,203,196,775,B27,199,194,185,174,752,"1,527",190.87
55,25,,,1492,横地 優輝,63,左両手,フリー,228,187,201,190,806,A19,167,153,193,202,715,"1,521",190.12
56,26,,,1491,吉江奈津希,63,左,クァトロブーム,192,226,169,187,774,A21,180,196,177,182,735,"1,509",188.62
