rank_total,rank_shiftA,rank_shiftB,shift,license_type,license_no,name,gender,term,dominant_hand,sponsor,total_score,total_avg,score_1,score_2,score_3,score_4,score_5,half1_score,half1_avg,half1_rank,score_6,score_7,score_8,score_9,score_10,half2_score,half2_avg
1,,1,B,S,582,中島 瑞葵,2,53,右,フリー/ABS,"2,306",230.60,218,268,255,235,274,"1,250",250.00,1,185,220,228,225,198,"1,056",211.20
2,1,,A,S,559,霜出 佳奈,2,50,右,サンスクエアボウル/ﾊｲ･ｽﾎﾟｰﾂ社,"2,270",227.00,215,246,247,223,238,"1,169",233.80,3,234,210,210,215,232,"1,101",220.20
3,2,,A,,603,緒方 彩音,2,55,右,(株)ｺﾛﾅﾜｰﾙﾄﾞ / (株)ﾎﾞｳﾙｽﾀｰ,"2,258",225.80,276,247,221,236,221,"1,201",240.20,2,247,192,229,196,193,"1,057",211.40
4,,2,B,S,598,近藤 菜帆,2,55,右,ALSOK愛知株式会社,"2,236",223.60,200,245,201,237,202,"1,085",217.00,15,230,235,225,238,223,"1,151",230.20
5,3,,A,S,364,丹羽由香梨,2,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,"2,196",219.60,179,258,214,232,232,"1,115",223.00,9,236,217,211,174,243,"1,081",216.20
6,4,,A,CS,586,幸木百合菜,2,53,左,相模原パークレーンズ,"2,192",219.20,212,220,166,223,187,"1,008",201.60,44,232,266,237,233,216,"1,184",236.80
7,,3,B,CS,507,寺下 智香,2,47,右,神戸六甲ボウル/ｻﾝﾌﾞﾘｯｼﾞ,"2,183",218.30,244,239,279,204,188,"1,154",230.80,5,213,183,194,228,211,"1,029",205.80
8,,4,B,,494,桑藤 美樹,2,45,左,(株)スポルト/ABS,"2,177",217.70,197,248,193,179,183,"1,000",200.00,47,224,226,245,224,258,"1,177",235.40
9,,5,B,S,533,川﨑 由意,2,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,"2,176",217.60,172,180,203,277,237,"1,069",213.80,17,221,266,191,223,206,"1,107",221.40
10,,6,B,S,600,金子 萌夏,2,55,右,相模原パークレーンズ,"2,173",217.30,234,216,207,255,217,"1,129",225.80,7,159,220,238,223,204,"1,044",208.80
11,5,,A,,525,宇山 侑花,2,48,右,小嶺シティボウル/ABS,"2,159",215.90,238,213,153,186,223,"1,013",202.60,42,280,207,215,211,233,"1,146",229.20
12,,7,B,,514,小久保実希,2,47,右,ジョイナスボウル/(株)ﾊｲ･ｽﾎﾟｰﾂ社,"2,153",215.30,191,247,214,192,204,"1,048",209.60,21,223,217,226,245,194,"1,105",221.00
13,,8,B,,463,岸田 有加,2,43,右,ＡＣＴエースレーン/STEEL SPORTS,"2,152",215.20,236,250,174,178,198,"1,036",207.20,29,202,189,225,256,244,"1,116",223.20
14,6,,A,,490,大根谷 愛,2,45,右,Ｅ－ＢＯＷＬトマト西宮,"2,139",213.90,269,247,234,187,201,"1,138",227.60,6,155,248,183,202,213,"1,001",200.20
15,7,,A,,611,新舎菜々美,2,55,右,コスモレーン貝塚,"2,133",213.30,233,206,269,214,235,"1,157",231.40,4,171,180,204,230,191,976,195.20
16,,9,B,,469,安藤 瞳,2,43,右,東名ボール,"2,121",212.10,268,207,160,205,215,"1,055",211.00,20,237,214,185,187,243,"1,066",213.20
