rank,license_type,license_no,name,term,dominant_hand,sponsor,current_rank,titles,totalscore,games,avg_total,half1_score,half1_avg,half1_rank,half2_score,half2_avg,half2_rank,score_1,score_2,score_3,stage1_score,stage1_avg,stage1_rank,score_4,score_5,score_6,stage2_score,total6_score,total6_avg,total6_rank,score_7,score_8,score_9,stage3_score,total9_score,total9_avg,total9_rank,score_10,score_11,score_12,stage4_score
1,S,1423,安里 秀策,59,右,(株)コロナワールド,2,1,"2,898",12,241.50,"1,487",247.83,2,"1,411",235.16,9,233,245,270,748,249.33,4,245,235,259,739,"1,487",247.83,2,199,217,223,639,"2,126",236.22,3,268,288,216,772
2,,1291,渡邊 雄也,52,右,(株)グランドボウル,30,2,"2,893",12,241.08,"1,412",235.33,7,"1,481",246.83,1,226,238,204,668,222.66,29,300,229,215,744,"1,412",235.33,7,231,243,287,761,"2,173",241.44,2,244,218,258,720
3,S,1219,川添 奨太,49,右,ハイ･スポーツ社,15,22,"2,855",12,237.91,"1,438",239.66,4,"1,417",236.16,7,213,246,214,673,224.33,27,279,238,248,765,"1,438",239.66,4,247,257,236,740,"2,178",242.00,1,217,239,221,677
4,,1032,工藤 貴志,42,右,新東京ﾀﾞｲﾔﾓﾝﾄﾞﾎﾞｳﾙ･横田空軍基地ﾄﾓﾀﾞﾁﾚｰﾝｽﾞ/ｻﾝﾌﾞﾘｯｼﾞ,54,1,"2,853",12,237.75,"1,382",230.33,13,"1,471",245.16,3,201,268,279,748,249.33,5,199,213,222,634,"1,382",230.33,13,197,182,290,669,"2,051",227.88,13,256,279,267,802
5,,1434,原口 優馬,60,右,愛知川ボウル /(株)ﾊｲ･ｽﾎﾟｰﾂ社,27,1,"2,809",12,234.08,"1,378",229.66,14,"1,431",238.50,4,278,258,202,738,246.00,7,168,210,262,640,"1,378",229.66,14,226,234,220,680,"2,058",228.66,12,287,205,259,751
6,,1433,井口 遼太,60,右,MOTIV Bowling Products,22,1,"2,795",12,232.91,"1,415",235.83,6,"1,380",230.00,14,246,198,246,690,230.00,20,203,244,278,725,"1,415",235.83,6,234,255,204,693,"2,108",234.22,4,258,247,182,687
7,,1077,堀江 真一,43,右,大学ボウル,23,0,"2,789",12,232.41,"1,399",233.16,8,"1,390",231.66,12,269,194,237,700,233.33,14,246,244,209,699,"1,399",233.16,8,266,237,188,691,"2,090",232.22,7,227,247,225,699
8,S,1345,甘糟 翔太,54,右,江の島ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,8,0,"2,772",12,231.00,"1,388",231.33,12,"1,384",230.66,13,237,216,246,699,233.00,16,279,214,196,689,"1,388",231.33,12,230,254,226,710,"2,098",233.11,5,269,179,226,674
9,,1392,松浦 和彦,56,右,フリー,47,1,"2,758",12,229.83,"1,283",213.83,43,"1,475",245.83,2,193,157,266,616,205.33,65,198,259,210,667,"1,283",213.83,43,265,190,266,721,"2,004",222.66,20,284,256,214,754
10,S,1443,藤永 北斗,61,左,"N&KCo.,Ltd./STEEL SPORTS",4,4(2),"2,749",12,229.08,"1,323",220.50,29,"1,426",237.66,6,179,244,223,646,215.33,45,263,166,248,677,"1,323",220.50,29,190,300,224,714,"2,037",226.33,15,257,209,246,712
11,S,1289,谷合 貴志,52,右,(株)日本ｹｱｸｵﾘﾃｨ/(有)ﾕｳｷｼｽﾃﾑｻｰﾋﾞｽ,19,5,"2,733",12,227.75,"1,318",219.66,31,"1,415",235.83,8,257,213,198,668,222.66,31,217,234,199,650,"1,318",219.66,31,215,247,213,675,"1,993",221.44,25,227,245,268,740
12,S,1287,藤井 信人,52,右,ＩＴカンファー(株)ﾊｲ･ｽﾎﾟｰﾂ社,9,11,"2,720",12,226.66,"1,370",228.33,16,"1,350",225.00,17,235,252,233,720,240.00,10,194,244,212,650,"1,370",228.33,16,266,237,222,725,"2,095",232.77,6,211,225,189,625
13,,1384,水野 耕佑,56,右,岩屋キャノンボウル,51,3,"2,719",12,226.58,"1,397",232.83,9,"1,322",220.33,28,212,233,266,711,237.00,11,236,227,223,686,"1,397",232.83,9,236,190,244,670,"2,067",229.66,10,226,200,226,652
14,S,1446,斎藤 祐太,61,右,株式会社ボウルスター,14,0,"2,705",12,225.41,"1,328",221.33,28,"1,377",229.50,15,194,180,183,557,185.66,86,279,225,267,771,"1,328",221.33,28,212,222,237,671,"1,999",222.11,24,256,223,227,706
15,CS,1424,坂本 就馬,59,右,永山コパボウル,6,3(1),"2,692",12,224.33,"1,263",210.50,50,"1,429",238.16,5,222,210,205,637,212.33,50,209,212,205,626,"1,263",210.50,50,190,245,245,680,"1,943",215.88,36,269,244,236,749
16,,1390,吉野 浩章,56,右,フリー,64,0,"2,674",12,222.83,"1,370",228.33,15,"1,304",217.33,35,202,218,230,650,216.66,37,237,259,224,720,"1,370",228.33,15,202,222,277,701,"2,071",230.11,9,210,156,237,603
17,S,1394,藤村 隆史,57,右,(株)コロナワールド,39,1,"2,670",12,222.50,"1,505",250.83,1,"1,165",194.16,77,277,258,238,773,257.66,1,253,279,200,732,"1,505",250.83,1,206,179,183,568,"2,073",230.33,8,193,161,243,597
18,,1066,加藤 祐哉,43,右,株式会社スポルト,40,2,"2,668",12,222.33,"1,417",236.16,5,"1,251",208.50,53,269,235,257,761,253.66,2,205,214,237,656,"1,417",236.16,5,171,224,173,568,"1,985",220.55,28,172,242,269,683
19,CS,1478,倉持 悠人,63,右,大学ボウル,7,1(1),"2,664",12,222.00,"1,352",225.33,18,"1,312",218.66,32,243,219,237,699,233.00,15,212,235,206,653,"1,352",225.33,18,184,236,192,612,"1,964",218.22,31,238,247,215,700
20,S,1445,宮澤 拓哉,61,右,ﾊﾟｰｸﾚｰﾝ高崎･上武大学/ｻﾝﾌﾞﾘｯｼﾞ,1,3(1),"2,664",12,222.00,"1,397",232.83,10,"1,267",211.16,51,267,205,267,739,246.33,6,217,213,228,658,"1,397",232.83,10,239,198,189,626,"2,023",224.77,18,194,233,214,641
21,,1493,豊田 晃平,63,右両手,プロショップ エム,131,0,"2,660",12,221.66,"1,337",222.83,25,"1,323",220.50,27,242,198,204,644,214.66,47,279,243,171,693,"1,337",222.83,25,180,208,289,677,"2,014",223.77,19,211,198,237,646
22,,1395,佐藤 貴啓,57,右,ドリームスタジアム太田,61,0,"2,639",12,219.91,"1,442",240.33,3,"1,197",199.50,66,246,254,256,756,252.00,3,229,220,237,686,"1,442",240.33,3,215,179,192,586,"2,028",225.33,17,169,209,233,611
23,,1458,増田 優希,62,右,岩屋キャノンボウル,31,0,"2,635",12,219.58,"1,344",224.00,23,"1,291",215.16,41,235,258,196,689,229.66,21,244,207,204,655,"1,344",224.00,23,244,248,193,685,"2,029",225.44,16,199,194,213,606
24,,1483,山中 麗,63,右両手,アミューズメントシティラクゾー野田店,187,0,"2,633",12,219.41,"1,295",215.83,38,"1,338",223.00,20,214,232,202,648,216.00,41,203,259,185,647,"1,295",215.83,38,257,199,223,679,"1,974",219.33,29,224,203,232,659
25,,1452,内藤 広人,61,右,岩屋ｷｬﾉﾝﾎﾞｳﾙ･(株)ｿｼｵｼﾞｬﾊﾟﾝ,3,1(1),"2,633",12,219.41,"1,236",206.00,63,"1,397",232.83,10,227,254,169,650,216.66,38,218,193,175,586,"1,236",206.00,63,190,256,200,646,"1,882",209.11,53,268,246,237,751
26,S,974,永野すばる,40,右,相模原ﾊﾟｰｸﾚｰﾝｽﾞ,10,6,"2,629",12,219.08,"1,352",225.33,20,"1,277",212.83,48,171,245,208,624,208.00,57,223,237,268,728,"1,352",225.33,20,219,161,212,592,"1,944",216.00,35,152,276,257,685
27,S,1267,森本 健太,51,左,蒲田イモンボウル/ﾊｲ･ｽﾎﾟｰﾂ社,29,4,"2,617",12,218.08,"1,329",221.50,26,"1,288",214.66,45,208,224,247,679,226.33,25,247,205,198,650,"1,329",221.50,26,217,224,218,659,"1,988",220.88,27,203,181,245,629
28,,1101,村上 拓也,45,右,ジョイナスボウル坂東,58,0,"2,615",12,217.91,"1,328",221.33,27,"1,287",214.50,46,235,214,212,661,220.33,33,258,173,236,667,"1,328",221.33,27,232,216,224,672,"2,000",222.22,23,244,166,205,615
29,,1479,立花 仁貴,63,右両手,フリー,18,0,"2,612",12,217.66,"1,282",213.66,44,"1,330",221.66,22,224,245,217,686,228.66,22,233,179,184,596,"1,282",213.66,44,233,290,196,719,"2,001",222.33,22,213,187,211,611
30,,1370,新城 一也,55,右両手,STEEL SPORTS,33,1,"2,612",12,217.66,"1,313",218.83,32,"1,299",216.50,39,225,204,215,644,214.66,46,267,215,187,669,"1,313",218.83,32,218,259,270,747,"2,060",228.88,11,231,146,175,552
31,,1085,山下 昌吾,44,右,タチバナボウル,37,0,"2,612",12,217.66,"1,347",224.50,22,"1,265",210.83,52,222,246,226,694,231.33,17,225,225,203,653,"1,347",224.50,22,188,174,170,532,"1,879",208.77,54,200,300,233,733
32,,1454,前田 祐輔,61,右,NPO法人ライフアップサポート,57,0,"2,602",12,216.83,"1,285",214.16,42,"1,317",219.50,30,255,199,214,668,222.66,30,255,195,167,617,"1,285",214.16,42,242,226,200,668,"1,953",217.00,32,178,213,258,649
33,,1451,小野 在由,61,右,フリー,55,0,"2,599",12,216.58,"1,251",208.50,57,"1,348",224.66,18,171,236,212,619,206.33,63,228,177,227,632,"1,251",208.50,57,204,216,223,643,"1,894",210.44,49,236,246,223,705
34,,1469,田野岡大夢,62,右,ボウルアロー八尾店,88,0,"2,598",12,216.50,"1,308",218.00,35,"1,290",215.00,42,246,255,148,649,216.33,40,247,184,228,659,"1,308",218.00,35,188,201,235,624,"1,932",214.66,41,248,224,194,666
35,,1431,木村 晃,60,右,相模原ﾊﾟｰｸﾚｰﾝｽﾞ/(株)ボウルスター,42,0,"2,589",12,215.75,"1,339",223.16,24,"1,250",208.33,54,248,233,211,692,230.66,19,215,216,216,647,"1,339",223.16,24,248,212,203,663,"2,002",222.44,21,209,191,187,587
36,PM,1477,西山 翔悟,63,右,ITカンファー/ﾊｲ･ｽﾎﾟｰﾂ社,60,0,"2,589",12,215.75,"1,357",226.16,17,"1,232",205.33,57,199,239,208,646,215.33,44,246,217,248,711,"1,357",226.16,17,190,170,191,551,"1,908",212.00,47,212,254,215,681
37,S,1429,大久保雄矢,60,左,プロショップ･エム エムボウル,21,1,"2,586",12,215.50,"1,352",225.33,19,"1,234",205.66,56,234,238,235,707,235.66,12,245,189,211,645,"1,352",225.33,19,192,166,181,539,"1,891",210.11,50,257,245,193,695
38,S,1233,斉藤 祐哉,49,左,桜ヶ丘ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,32,2,"2,569",12,214.08,"1,243",207.16,62,"1,326",221.00,25,202,279,196,677,225.66,26,182,169,215,566,"1,243",207.16,62,209,268,191,668,"1,911",212.33,46,214,237,207,658
39,S,1427,田中 椋也,59,右,クァトロブーム,25,0,"2,568",12,214.00,"1,277",212.83,45,"1,291",215.16,40,234,195,213,642,214.00,48,246,204,185,635,"1,277",212.83,45,202,191,252,645,"1,922",213.55,45,238,164,244,646
40,,1481,福原 尊,63,右両手,(株)コロナワールド,13,0,"2,566",12,213.83,"1,232",205.33,65,"1,334",222.33,21,214,193,190,597,199.00,75,213,225,197,635,"1,232",205.33,65,245,278,238,761,"1,993",221.44,26,178,223,172,573
41,,1099,津島 健次,45,右,フタバボウル/ﾊｲ･ｽﾎﾟｰﾂ社,46,0,"2,565",12,213.75,"1,222",203.66,68,"1,343",223.83,19,192,203,219,614,204.66,67,217,192,199,608,"1,222",203.66,68,184,225,224,633,"1,855",206.11,62,266,257,187,710
42,,1472,笹島新太郎,62,右両手,ラウンドワンジャパン/笹島看護師紹介所,164,0,"2,560",12,213.33,"1,320",220.00,30,"1,240",206.66,55,221,241,221,683,227.66,24,220,224,193,637,"1,320",220.00,30,209,227,212,648,"1,968",218.66,30,200,195,197,592
43,S,1180,斉藤 征哉,47,左,江の島ボウリングセンター,67,1,"2,558",12,213.16,"1,182",197.00,83,"1,376",229.33,16,207,213,203,623,207.66,58,160,197,202,559,"1,182",197.00,83,228,237,279,744,"1,926",214.00,44,244,220,168,632
44,S,1193,斉藤 琢哉,48,左,伊勢原ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,20,3,"2,557",12,213.08,"1,243",207.16,61,"1,314",219.00,31,215,244,197,656,218.66,34,174,200,213,587,"1,243",207.16,61,209,256,226,691,"1,934",214.88,39,186,244,193,623
45,,1190,和田 秀和,48,右,ボウルアロー八尾/ABS,26,1,"2,556",12,213.00,"1,269",211.50,48,"1,287",214.50,47,267,245,181,693,231.00,18,177,168,231,576,"1,269",211.50,48,211,248,224,683,"1,952",216.88,33,205,201,198,604
46,,1214,福丸 哲平,48,右,(株)グランドボウル,28,1,"2,554",12,212.83,"1,349",224.83,21,"1,205",200.83,64,201,172,217,590,196.66,78,225,278,256,759,"1,349",224.83,21,288,216,195,699,"2,048",227.55,14,157,183,166,506
47,,1463,藤 博文,62,右,フリー,152,0,"2,552",12,212.66,"1,224",204.00,67,"1,328",221.33,23,243,168,217,628,209.33,53,232,198,166,596,"1,224",204.00,67,246,279,192,717,"1,941",215.66,37,174,192,245,611
48,S,1078,山本 勲,44,左,ＡＢＳ,5,21,"2,546",12,212.16,"1,257",209.50,53,"1,289",214.83,43,225,216,226,667,222.33,32,180,186,224,590,"1,257",209.50,53,187,227,213,627,"1,884",209.33,52,232,214,216,662
49,S,1198,小林 哲也,48,左,ｲﾘｽﾎﾞｳﾙ･(株)ｺﾛﾅﾜｰﾙﾄﾞ･しんじ湖ﾎﾞｳﾙ,49,0,"2,544",12,212.00,"1,271",211.83,46,"1,273",212.16,50,215,203,196,614,204.66,66,221,212,224,657,"1,271",211.83,46,202,202,192,596,"1,867",207.44,58,216,237,224,677
50,,1436,入江 健太,60,右,(株)大成,106,0,"2,539",12,211.58,"1,213",202.16,76,"1,326",221.00,26,192,225,222,639,213.00,49,195,194,185,574,"1,213",202.16,76,214,258,248,720,"1,933",214.77,40,195,226,185,606
51,,1372,戸辺 誠,55,右両手,ｱﾐｭｰｽﾞﾒﾝﾄｼﾃｨﾗｸｿﾞｰ,173,0,"2,537",12,211.41,"1,312",218.66,34,"1,225",204.16,58,192,207,248,647,215.66,42,187,268,210,665,"1,312",218.66,34,206,203,215,624,"1,936",215.11,38,222,171,208,601
52,S,1425,伊吹 太陽,59,右,ラピュタボウル/ABS,36,0,"2,528",12,210.66,"1,228",204.66,66,"1,300",216.66,37,190,238,202,630,210.00,52,217,208,173,598,"1,228",204.66,66,246,194,228,668,"1,896",210.66,48,220,232,180,632
53,S,1361,堀ノ内智大,54,左,(株)StarLike/ｱｲﾋﾞｰﾎﾞｳﾙ越谷,50,0,"2,520",12,210.00,"1,218",203.00,74,"1,302",217.00,36,169,189,209,567,189.00,83,211,233,207,651,"1,218",203.00,74,171,238,214,623,"1,841",204.55,68,217,246,216,679
54,,1314,児玉 侑樹,52,右,浜松グランドボウル,76,0,"2,520",12,210.00,"1,209",201.50,77,"1,311",218.50,33,170,217,174,561,187.00,85,246,198,204,648,"1,209",201.50,77,202,179,257,638,"1,847",205.22,66,243,238,192,673
55,,1484,熊木 大地,63,右,ラウンドワンジャパン,136,0,"2,514",12,209.50,"1,215",202.50,75,"1,299",216.50,38,238,198,187,623,207.66,60,182,203,207,592,"1,215",202.50,75,235,235,187,657,"1,872",208.00,57,193,281,168,642
56,,913,水谷 孝敏,37,右,久居ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ/STEEL SPORTS,165,0,"2,513",12,209.41,"1,313",218.83,33,"1,200",200.00,65,204,265,257,726,242.00,9,176,176,235,587,"1,313",218.83,33,177,241,195,613,"1,926",214.00,43,196,182,209,587
57,S,1400,江川 司,57,左,(株)GENDA GiGO Entertainment,12,1,"2,510",12,209.16,"1,118",186.33,89,"1,392",232.00,11,192,245,186,623,207.66,61,135,167,193,495,"1,118",186.33,89,195,247,278,720,"1,838",204.22,69,229,255,188,672
58,S,1432,羽ヶ﨑匠海,60,右,クァトロブーム/(株)ボウルスター,41,0,"2,505",12,208.75,"1,198",199.66,80,"1,307",217.83,34,177,218,174,569,189.66,82,211,196,222,629,"1,198",199.66,80,257,216,191,664,"1,862",206.88,59,214,244,185,643
59,,1153,江村 学,46,右,池袋ロサボウル,123,0,"2,498",12,208.16,"1,393",232.16,11,"1,105",184.16,88,215,244,242,701,233.66,13,278,233,181,692,"1,393",232.16,11,194,165,177,536,"1,929",214.33,42,186,169,214,569
60,,976,髙橋 昭弘,40,右,(株)コロナワールド,114,0,"2,494",12,207.83,"1,218",203.00,73,"1,276",212.66,49,201,244,163,608,202.66,70,188,237,185,610,"1,218",203.00,73,204,174,278,656,"1,874",208.22,56,201,204,215,620
61,,1352,ﾌﾞﾗｲｱﾝ･ｸﾞﾘｰﾝｳｯﾄﾞ,54,右,STEEL SPORTS,100,0,"2,493",12,207.75,"1,286",214.33,41,"1,207",201.16,63,211,202,224,637,212.33,51,237,234,178,649,"1,286",214.33,41,178,256,225,659,"1,945",216.11,34,178,170,200,548
62,,1362,髙井裕滋郎,54,右,大学ボウル,139,0,"2,488",12,207.33,"1,293",215.50,39,"1,195",199.16,69,234,185,204,623,207.66,59,257,188,225,670,"1,293",215.50,39,204,174,218,596,"1,889",209.88,51,209,195,195,599
63,S,761,小原 照之,32,左,スターレーン,34,7,"2,488",12,207.33,"1,161",193.50,86,"1,327",221.16,24,170,162,194,526,175.33,89,211,268,156,635,"1,161",193.50,86,222,196,257,675,"1,836",204.00,71,205,236,211,652
64,,949,砂子 明廣,38,右,Pro shop ZIP/(株)AREA-Do/ｻﾝﾌﾞﾘｯｼﾞ,62,0,"2,481",12,206.75,"1,290",215.00,40,"1,191",198.50,71,276,258,193,727,242.33,8,172,179,212,563,"1,290",215.00,40,171,191,200,562,"1,852",205.77,63,179,233,217,629
65,S,1444,内藤慎之介,61,左,アルプラザボウル亀岡,59,0,"2,479",12,206.58,"1,161",193.50,85,"1,318",219.66,29,202,180,224,606,202.00,73,175,155,225,555,"1,161",193.50,85,223,210,232,665,"1,826",202.88,75,219,195,239,653
66,,1350,山中 悟,54,右,江の島ﾎﾞｳﾘﾝｸﾞｾﾝﾀｰ,65,0,"2,454",12,204.50,"1,266",211.00,49,"1,188",198.00,72,213,184,179,576,192.00,79,247,236,207,690,"1,266",211.00,49,202,184,151,537,"1,803",200.33,80,179,235,237,651
67,,1494,山﨑雄太郎,63,右,フリー,144,0,"2,444",12,203.66,"1,155",192.50,87,"1,289",214.83,44,275,180,192,647,215.66,43,171,161,176,508,"1,155",192.50,87,163,182,278,623,"1,778",197.55,84,225,228,213,666
68,,1092,正田 晃也,44,右両手,(株)コロナワールド･近亀時計店･さくら,80,0,"2,435",12,202.91,"1,248",208.00,60,"1,187",197.83,73,192,175,238,605,201.66,74,237,203,203,643,"1,248",208.00,60,174,223,191,588,"1,836",204.00,70,234,171,194,599
69,,486,大谷内高志,21,右,フリー,138,0,"2,435",12,202.91,"1,300",216.66,36,"1,135",189.16,86,223,226,235,684,228.00,23,220,193,203,616,"1,300",216.66,36,225,161,170,556,"1,856",206.22,61,226,188,165,579
70,,1482,井之上准己,63,右両手,菊陽ボウル,102,0,"2,433",12,202.75,"1,219",203.16,71,"1,214",202.33,60,212,189,250,651,217.00,36,189,167,212,568,"1,219",203.16,71,209,206,243,658,"1,877",208.55,55,177,166,213,556
71,,1023,岡野 秀幸,42,右,ミスズボウル,86,1,"2,432",12,202.66,"1,252",208.66,55,"1,180",196.66,75,200,231,195,626,208.66,55,201,199,226,626,"1,252",208.66,55,205,162,231,598,"1,850",205.55,64,168,196,218,582
72,,905,太田 隆昌,37,左,青山スポーツガーデン/ｻﾝﾌﾞﾘｯｼﾞ,92,1,"2,432",12,202.66,"1,253",208.83,54,"1,179",196.50,76,237,177,193,607,202.33,71,182,241,223,646,"1,253",208.83,54,226,167,210,603,"1,856",206.22,60,193,210,173,576
73,,1354,竹永 竜星,54,右両手,ラウンドワンジャパン,16,0,"2,414",12,201.16,"1,262",210.33,51,"1,152",192.00,82,166,218,242,626,208.66,56,234,227,175,636,"1,262",210.33,51,201,156,196,553,"1,815",201.66,77,202,216,181,599
74,,1399,神山 匠,57,右,(株)Star Like,94,0,"2,412",12,201.00,"1,204",200.66,79,"1,208",201.33,62,208,203,215,626,208.66,54,222,191,165,578,"1,204",200.66,79,208,185,212,605,"1,809",201.00,78,181,223,199,603
75,,644,玉置幸一郎,27,右,フリー,154,0,"2,412",12,201.00,"1,270",211.66,47,"1,142",190.33,85,225,204,190,619,206.33,62,201,215,235,651,"1,270",211.66,47,170,201,206,577,"1,847",205.22,65,173,215,177,565
76,,1490,栗原 翔,63,右両手,フリー,163,0,"2,412",12,201.00,"1,219",203.16,72,"1,193",198.83,70,237,257,179,673,224.33,28,203,199,144,546,"1,219",203.16,72,142,202,197,541,"1,760",195.55,85,214,244,194,652
77,,792,黒川 靖,33,右,ボウリング王国スポルト横須賀店,140,0,"2,411",12,200.91,"1,251",208.50,58,"1,160",193.33,79,211,181,200,592,197.33,77,223,227,209,659,"1,251",208.50,58,177,145,209,531,"1,782",198.00,83,214,226,189,629
78,,848,吉田 文啓,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ/ﾊｲ･ｽﾎﾟｰﾂ社,75,1,"2,409",12,200.75,"1,297",216.16,37,"1,112",185.33,87,169,298,189,656,218.66,35,215,212,214,641,"1,297",216.16,37,215,161,154,530,"1,827",203.00,73,215,169,198,582
79,,1376,松田 力也,56,右,(株)グランドボウル/ABS,83,0,"2,404",12,200.33,"1,219",203.16,70,"1,185",197.50,74,180,205,226,611,203.66,68,202,190,216,608,"1,219",203.16,70,191,202,196,589,"1,808",200.88,79,217,183,196,596
80,永,288,酒井 武雄,9,右,ドリームスタジアム太田,73,37,"2,403",12,200.25,"1,206",201.00,78,"1,197",199.50,67,189,182,204,575,191.66,81,197,214,220,631,"1,206",201.00,78,200,182,231,613,"1,819",202.11,76,215,178,191,584
81,,843,辻 賢司,35,右,ﾌﾟﾛｼｮｯﾌﾟM/ABS,109,0,"2,403",12,200.25,"1,249",208.16,59,"1,154",192.33,81,201,191,201,593,197.66,76,225,200,231,656,"1,249",208.16,59,219,181,196,596,"1,845",205.00,67,163,200,195,558
82,,1132,佐野 芳宏,46,右,(株)永田屋,129,0,"2,395",12,199.58,"1,252",208.66,56,"1,143",190.50,84,248,217,184,649,216.33,39,197,211,195,603,"1,252",208.66,56,236,186,154,576,"1,828",203.11,72,200,177,190,567
83,,1430,田中 義一,60,右,(株)広島パークレーン,53,0,"2,389",12,199.08,"1,232",205.33,64,"1,157",192.83,80,259,203,157,619,206.33,64,199,225,189,613,"1,232",205.33,64,177,212,161,550,"1,782",198.00,82,226,225,156,607
84,,1448,木村 謙太,61,右,"N&KCo.,Ltd./狐ヶ崎ﾔﾝｸﾞﾗﾝﾄﾞﾎﾞｳﾙ/ﾊｲ･ｽﾎﾟｰﾂ社",81,0,"2,363",12,196.91,"1,219",203.16,69,"1,144",190.66,83,186,210,213,609,203.00,69,185,201,224,610,"1,219",203.16,69,181,195,231,607,"1,826",202.88,74,182,188,167,537
85,,1485,山﨑 陸斗,63,右,ボウルアロー八尾店,172,0,"2,362",12,196.83,"1,165",194.16,84,"1,197",199.50,68,182,168,184,534,178.00,87,245,202,184,631,"1,165",194.16,84,199,149,211,559,"1,724",191.55,89,200,181,257,638
86,,1403,柿沼 貴史,57,右両手,フリー,105,0,"2,351",12,195.91,"1,186",197.66,81,"1,165",194.16,78,204,196,206,606,202.00,72,170,222,188,580,"1,186",197.66,81,170,213,167,550,"1,736",192.88,87,226,173,216,615
