rank,rank_Ashift,rank_Bshift,rank_Amature,license_type,license_no,name,term,dominant_hand,sponsor,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,half1_score,half1_avg,half2_score,half2_avg,totalscore,avg_total
1,,1,1,☆アマ,,網代 羅夢,選手,右,(桜ヶ丘ボウリングセンター),206,232,255,259,199,201,225,278,952,238.00,903,225.75,"1,855",231.87
2,1,,,S,599,石田 万音,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,237,211,259,213,258,211,207,239,920,230.00,915,228.75,"1,835",229.37
3,2,,,S,598,近藤 菜帆,55,右,ALSOK愛知株式会社,212,238,255,203,183,193,194,267,908,227.00,837,209.25,"1,745",218.12
4,,2,,S,582,中島 瑞葵,53,右,フリー/ABS,237,223,236,253,227,175,235,141,949,237.25,778,194.50,"1,727",215.87
5,3,,,,545,大嶋 有香,49,左,フリー,200,225,192,276,243,192,167,225,893,223.25,827,206.75,"1,720",215.00
6,4,,,S,364,丹羽由香梨,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,203,189,199,236,211,210,238,233,827,206.75,892,223.00,"1,719",214.87
7,5,,,,594,三上 彩奈,54,右,(株)Star Like/STAR LIKE BOWL,258,197,221,203,233,199,196,210,879,219.75,838,209.50,"1,717",214.62
8,6,,,CS,586,幸木百合菜,53,左,相模原パークレーンズ,228,226,207,221,278,202,180,175,882,220.50,835,208.75,"1,717",214.62
9,7,,,S,600,金子 萌夏,55,右,相模原パークレーンズ,199,213,189,171,248,248,220,225,772,193.00,941,235.25,"1,713",214.12
10,,3,,,618,崎山 穂花,56,右,タチバナボウル,148,218,217,215,220,266,210,213,798,199.50,909,227.25,"1,707",213.37
11,8,,,,494,桑藤 美樹,45,左,(株)スポルト/ABS,215,182,226,204,226,221,225,203,827,206.75,875,218.75,"1,702",212.75
12,9,,,,622,渡辺 莉央,56,右,ＩＴカンファー(株),228,170,192,236,210,192,257,214,826,206.50,873,218.25,"1,699",212.37
13,,4,,S,544,坂本 かや,49,右,永山コパボウル,181,177,212,242,200,247,198,236,812,203.00,881,220.25,"1,693",211.62
14,,5,,,463,岸田 有加,43,右,ＡＣＴエースレーン/STEEL SPORTS,233,214,212,193,193,192,244,203,852,213.00,832,208.00,"1,684",210.50
15,,6,,S,533,川﨑 由意,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,192,200,236,193,244,213,207,194,821,205.25,858,214.50,"1,679",209.87
16,,7,,S,583,堀井 春花,53,左,Ｊ－Ｂｏｗｌ御坊,277,217,166,192,222,193,183,227,852,213.00,825,206.25,"1,677",209.62
17,,8,,,578,キム･ソヒョン,52,右,フジ取手ボウル,218,234,209,179,211,189,189,246,840,210.00,835,208.75,"1,675",209.37
18,10,,,S,352,姫路 麗,33,右,フリー,205,239,162,248,225,192,179,223,854,213.50,819,204.75,"1,673",209.12
19,,9,,,623,井﨑 寛菜,56,右,勝田パークボウル,226,232,190,157,203,226,225,213,805,201.25,867,216.75,"1,672",209.00
20,11,,,,297,座間 美子,28,右,Zohy、(株)コロナワールド,162,224,227,214,221,202,193,221,827,206.75,837,209.25,"1,664",208.00
