rank,license_type,license_no,name,term,dominant_hand,sponsor,current_rank,titles,totalscore,games,avg_total,part1_score,part1_avg,part1_rank,part2_score,part2_avg,part2_rank,part3_score,part3_avg,part3_rank,part4_score,part4_avg,part4_rank,score_13,score_14,score_15,stage5_score,total15_score,total15_rank,score_16,score_17,score_18,stage6_score,total18_score,total18_avg,total18_rank,score_19,score_20,score_21,stage7_score,total21_score,total21_avg,total21_rank,score_22,score_23,score_24,stage8_score
1,TS,600,金子 萌夏,55,右,相模原パークレーンズ,14位,0,"5,173",24,215.54,"1,184",197.33,26,"1,109",184.83,63,"1,556",259.33,1,"1,324",220.66,3,300,248,245,793,"3,086",17,198,265,300,763,"3,849",213.83,4,175,189,201,565,"4,414",210.19,6,247,234,278,759
2,,615,野仲 美咲,56,右,ココレーン,17位,0,"5,156",24,214.83,"1,343",223.83,1,"1,348",224.66,2,"1,299",216.50,15,"1,166",194.33,34,224,224,219,667,"3,358",1,217,224,191,632,"3,990",221.66,1,193,200,180,573,"4,563",217.28,1,236,198,159,593
3,TS,559,霜出 佳奈,50,右,サンスクエアボウル/ﾊｲ･ｽﾎﾟｰﾂ社,10位,2,"5,143",24,214.29,"1,328",221.33,2,"1,202",200.33,34,"1,294",215.66,18,"1,319",219.83,5,194,259,182,635,"3,165",5,248,220,191,659,"3,824",212.44,6,248,206,235,689,"4,513",214.90,3,209,228,193,630
4,TS,582,中島 瑞葵,53,右,フリー/ABS,2位,10,"5,118",24,213.25,"1,177",196.16,29,"1,254",209.00,20,"1,344",224.00,7,"1,343",223.83,1,246,225,233,704,"3,135",8,219,183,238,640,"3,775",209.72,8,187,200,235,622,"4,397",209.38,7,226,246,249,721
5,TS,364,丹羽由香梨,35,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,21位,1,"5,069",24,211.20,"1,296",216.00,4,"1,152",192.00,55,"1,353",225.50,3,"1,268",211.33,10,278,175,262,715,"3,163",6,191,242,205,638,"3,801",211.16,7,211,278,181,670,"4,471",212.90,4,202,172,224,598
6,CS,507,寺下 智香,47,右,神戸六甲ボウル/ｻﾝﾌﾞﾘｯｼﾞ,7位,7(1),"5,066",24,211.08,"1,182",197.00,28,"1,302",217.00,7,"1,386",231.00,2,"1,196",199.33,26,244,247,258,749,"3,233",3,200,203,234,637,"3,870",215.00,2,175,194,216,585,"4,455",212.14,5,181,239,191,611
7,,521,秋光 楓,47,右,(株)StarLike/ｱｲﾋﾞｰﾎﾞｳﾙ越谷,26位,0,"5,055",24,210.62,"1,247",207.83,11,"1,317",219.50,4,"1,285",214.16,22,"1,206",201.00,21,199,256,267,722,"3,286",2,169,201,193,563,"3,849",213.83,3,254,190,224,668,"4,517",215.09,2,189,191,158,538
8,TS,450,佐藤まさみ,42,右,ダイトースターレーン/ABS,29位,5,"5,019",24,209.12,"1,192",198.66,23,"1,188",198.00,40,"1,318",219.66,11,"1,321",220.16,4,247,236,211,694,"3,074",20,177,246,201,624,"3,698",205.44,20,214,216,257,687,"4,385",208.80,8,247,184,203,634
9,TS,558,坂倉 凜,50,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,11位,1(1),"5,002",24,208.41,"1,207",201.16,19,"1,258",209.66,17,"1,288",214.66,19,"1,249",208.16,14,246,201,177,624,"3,089",15,220,258,186,664,"3,753",208.50,9,186,193,218,597,"4,350",207.14,9,193,236,223,652
10,,490,大根谷 愛,45,右,Ｅ－ＢＯＷＬトマト西宮,24位,4,"4,999",24,208.29,"1,270",211.66,7,"1,198",199.66,37,"1,247",207.83,31,"1,284",214.00,8,214,157,236,607,"3,075",19,204,191,245,640,"3,715",206.38,15,193,215,217,625,"4,340",206.66,10,225,221,213,659
11,,578,キム･ソヒョン,52,右,フジ取手ボウル,63位,0,"4,959",24,206.62,"1,271",211.83,6,"1,219",203.16,30,"1,245",207.50,34,"1,224",204.00,17,224,218,158,600,"3,090",14,208,198,239,645,"3,735",207.50,12,191,156,210,557,"4,292",204.38,16,216,244,207,667
12,,540,倉田 萌,48,右,サッポロオリンピアボウル,27位,0,"4,932",24,205.50,"1,134",189.00,41,"1,285",214.16,12,"1,272",212.00,26,"1,241",206.83,16,215,196,224,635,"3,054",22,171,234,232,637,"3,691",205.05,22,207,212,205,624,"4,315",205.47,13,176,246,195,617
13,CS,587,今井 双葉,54,右,ＩＴカンファー(株)/ﾊｲ･ｽﾎﾟｰﾂ社,30位,2,"4,919",24,204.95,"1,264",210.66,9,"1,170",195.00,46,"1,286",214.33,20,"1,199",199.83,23,215,197,194,606,"3,040",24,215,207,258,680,"3,720",206.66,13,191,184,204,579,"4,299",204.71,15,203,245,172,620
14,,622,渡辺 莉央,56,右,ＩＴカンファー(株),61位,0,"4,908",24,204.50,"1,117",186.16,50,"1,253",208.83,21,"1,280",213.33,23,"1,258",209.66,12,257,192,200,649,"3,019",27,234,195,202,631,"3,650",202.77,28,179,172,224,575,"4,225",201.19,30,214,236,233,683
15,TS,384,松永 裕美,37,右,ＡＢＳ,39位,16,"4,905",24,204.37,"1,244",207.33,13,"1,247",207.83,23,"1,347",224.50,4,"1,067",177.83,63,267,206,178,651,"3,142",7,258,194,244,696,"3,838",213.22,5,160,132,201,493,"4,331",206.23,11,196,154,224,574
16,,515,坂倉にいな,47,右,カニエJAPAN・ｱｿﾋﾞｯｸｽ,19位,0,"4,902",24,204.25,"1,152",192.00,39,"1,252",208.66,22,"1,215",202.50,41,"1,283",213.83,9,258,181,188,627,"3,031",26,163,231,194,588,"3,619",201.05,33,209,182,245,636,"4,255",202.61,21,202,211,234,647
17,TS,568,越智 真南,51,右,平和島スターボウル/ABS,12位,0,"4,898",24,204.08,"1,164",194.00,35,"1,208",201.33,33,"1,216",202.66,40,"1,310",218.33,6,203,201,177,581,"2,953",43,204,183,248,635,"3,588",199.33,39,183,203,202,588,"4,176",198.85,38,251,248,223,722
18,TS,533,川﨑 由意,48,右,アイキョーボウル/ｻﾝﾌﾞﾘｯｼﾞ,20位,5,"4,897",24,204.04,"1,202",200.33,21,"1,243",207.16,24,"1,257",209.50,29,"1,195",199.16,27,213,198,192,603,"3,048",23,222,217,215,654,"3,702",205.66,19,194,181,204,579,"4,281",203.85,17,198,214,204,616
19,,570,本橋 優美,51,右,スターレーン,41位,0,"4,895",24,203.95,"1,214",202.33,17,"1,273",212.16,13,"1,217",202.83,38,"1,191",198.50,29,235,203,169,607,"3,094",12,220,222,168,610,"3,704",205.77,18,178,192,174,544,"4,248",202.28,23,190,200,257,647
20,TS,599,石田 万音,55,右,アルゴセブン/ ﾊｲ･ｽﾎﾟｰﾂ社,1位,8(3),"4,884",24,203.50,"1,122",187.00,47,"1,301",216.83,8,"1,216",202.66,39,"1,245",207.50,15,190,172,228,590,"3,013",31,222,195,209,626,"3,639",202.16,31,192,167,191,550,"4,189",199.47,36,236,215,244,695
21,,530,飯田 菜々,48,左,サンスクエアボウル,43位,0,"4,879",24,203.29,"1,246",207.66,12,"1,293",215.50,9,"1,147",191.16,68,"1,193",198.83,28,170,178,200,548,"3,087",16,203,210,186,599,"3,686",204.77,23,175,177,222,574,"4,260",202.85,20,167,173,279,619
22,TS,544,坂本 かや,49,右,永山コパボウル,8位,7(1),"4,870",24,202.91,"1,201",200.16,22,"1,169",194.83,47,"1,296",216.00,16,"1,204",200.66,22,216,236,182,634,"3,004",34,238,203,221,662,"3,666",203.66,26,193,172,186,551,"4,217",200.80,32,209,242,202,653
23,歴,409,吉川 朋絵,38,右,フリー/ｻﾝﾌﾞﾘｯｼﾞ,88位,4,"4,868",24,202.83,"1,049",174.83,66,"1,313",218.83,5,"1,285",214.16,21,"1,221",203.50,20,290,177,206,673,"3,035",25,190,223,199,612,"3,647",202.61,29,207,193,156,556,"4,203",200.14,34,204,213,248,665
24,,520,三浦 美里,47,右,ラウンドワンジャパン,40位,2,"4,865",24,202.70,"1,057",176.16,63,"1,261",210.16,15,"1,221",203.50,37,"1,326",221.00,2,201,223,195,619,"2,937",46,183,213,206,602,"3,539",196.61,47,215,226,248,689,"4,228",201.33,29,206,184,247,637
25,TS,365,名和 秋,35,右,(株)コロナワールド,23位,5,"4,864",24,202.66,"1,232",205.33,15,"1,227",204.50,27,"1,246",207.66,33,"1,159",193.16,35,242,192,215,649,"3,108",10,195,191,211,597,"3,705",205.83,17,245,211,160,616,"4,321",205.76,12,184,159,200,543
26,,618,崎山 穂花,56,右,タチバナボウル,55位,0,"4,864",24,202.66,"1,268",211.33,8,"1,304",217.33,6,"1,165",194.16,63,"1,127",187.83,52,195,193,170,558,"3,130",9,200,210,197,607,"3,737",207.61,11,170,199,175,544,"4,281",203.85,18,177,198,208,583
27,,614,川田 菜摘,56,右,フリー/ABS,36位,0,"4,846",24,201.91,"1,238",206.33,14,"1,258",209.66,18,"1,213",202.16,43,"1,137",189.50,43,168,218,203,589,"3,085",18,228,189,207,624,"3,709",206.05,16,145,173,209,527,"4,236",201.71,27,216,173,221,610
28,TS,526,久保田彩花,48,右,相模原パークレーンズ,3位,10(3),"4,846",24,201.91,"1,123",187.16,46,"1,195",199.16,38,"1,266",211.00,28,"1,262",210.33,11,215,238,207,660,"2,978",38,214,203,189,606,"3,584",199.11,40,224,220,242,686,"4,270",203.33,19,202,162,212,576
29,,543,松尾 星伽,49,右,ラウンドワンジャパン/ABS,32位,2,"4,839",24,201.62,"1,308",218.00,3,"1,172",195.33,45,"1,212",202.00,45,"1,147",191.16,39,229,194,191,614,"3,094",11,176,220,202,598,"3,692",205.11,21,149,205,204,558,"4,250",202.38,22,157,208,224,589
30,,584,原野 萌花,53,右,フラワーボウル,49位,1(1),"4,822",24,200.91,"1,055",175.83,64,"1,291",215.16,10,"1,338",223.00,8,"1,138",189.66,42,197,201,245,643,"2,989",37,203,225,267,695,"3,684",204.66,24,192,235,196,623,"4,307",205.09,14,170,180,165,515
31,,623,井﨑 寛菜,56,右,勝田パークボウル,34位,0,"4,820",24,200.83,"1,185",197.50,25,"1,257",209.50,19,"1,276",212.66,24,"1,102",183.66,56,174,237,239,650,"3,092",13,201,181,244,626,"3,718",206.55,14,157,181,160,498,"4,216",200.76,33,209,207,188,604
32,,616,太 琳華,56,右,フリー,45位,0,"4,813",24,200.54,"1,207",201.16,18,"1,320",220.00,3,"1,064",177.33,72,"1,222",203.66,18,193,161,185,539,"3,066",21,205,150,170,525,"3,591",199.50,38,248,188,206,642,"4,233",201.57,28,161,221,198,580
33,,463,岸田 有加,43,右,ＡＣＴエースレーン/STEEL SPORTS,22位,1,"4,759",24,198.29,"1,102",183.66,54,"1,189",198.16,39,"1,247",207.83,32,"1,221",203.50,19,190,180,229,599,"2,890",47,198,194,256,648,"3,538",196.55,48,225,234,163,622,"4,160",198.09,41,204,202,193,599
